Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Timber Mountain,20597,6/1/17,459,6.8,233,24,58,70,48,59,78,47,64,99,36,44,50,0
Timber Mountain,20597,6/2/17,,,,18,,79,49,,89,46,,73,17,,,
Timber Mountain,20597,6/3/17,576,10,185,27,64,75,53,65,83,51,44,66,25,41,51,0
Timber Mountain,20597,6/4/17,497,6.7,334,26,58,73,46,60,84,43,46,74,22,36,47,0
Timber Mountain,20597,6/5/17,656,5.8,352,17,61,77,43,64,89,41,37,59,17,32,46,0
Timber Mountain,20597,6/6/17,676,8.9,192,29,67,80,56,69,90,52,28,46,12,31,48,0
Timber Mountain,20597,6/7/17,452,14.1,198,33,62,72,55,63,80,53,38,55,22,36,48,0
Timber Mountain,20597,6/8/17,478,21,207,45,48,57,41,50,64,41,77,99,49,41,44,0.03
Timber Mountain,20597,6/9/17,567,14.2,231,39,47,59,37,49,67,35,69,100,30,36,41,0
Timber Mountain,20597,6/10/17,594,10.2,271,33,42,55,34,46,66,34,71,99,35,32,37,0.06
Timber Mountain,20597,6/11/17,262,8.5,328,25,37,46,32,38,51,32,94,99,78,36,36,0.4
Timber Mountain,20597,6/12/17,466,11.6,319,32,44,56,38,46,64,38,76,95,47,37,40,0
Timber Mountain,20597,6/13/17,,6.2,,21,,67,37,,78,35,,100,26,,,0
Timber Mountain,20597,6/14/17,,,,16,,72,44,,84,41,,59,30,,,
Timber Mountain,20597,6/15/17,485,8.5,192,26,60,71,49,62,82,47,55,77,37,44,51,0
Timber Mountain,20597,6/16/17,569,5.7,340,26,63,74,53,66,84,50,64,85,43,50,55,0
Timber Mountain,20597,6/17/17,676,6.5,351,19,64,77,49,67,86,47,57,88,34,47,53,0
Timber Mountain,20597,6/18/17,687,5.5,20,16,73,90,55,76,100,53,46,80,21,49,58,0
Timber Mountain,20597,6/19/17,637,8.2,301,34,77,93,65,79,102,62,44,69,22,51,61,0.05
Timber Mountain,20597,6/20/17,681,7.7,350,20,73,87,63,76,97,61,52,79,29,53,60,0
Timber Mountain,20597,6/21/17,692,7,355,17,70,85,57,72,94,54,41,77,17,42,54,0
Timber Mountain,20597,6/22/17,708,6.5,14,16,70,85,55,72,96,51,26,40,14,32,49,0
Timber Mountain,20597,6/23/17,707,5.6,0,14,73,89,55,75,100,52,26,38,13,34,51,0
Timber Mountain,20597,6/24/17,702,4.8,22,24,78,93,61,80,105,57,24,40,13,36,54,0
Timber Mountain,20597,6/25/17,648,7.3,193,32,78,92,68,78,101,60,28,46,18,41,56,0
Timber Mountain,20597,6/26/17,689,13.1,204,33,71,81,60,72,92,57,34,63,14,38,53,0
Timber Mountain,20597,6/27/17,,9.2,227,27,,82,55,,90,53,,46,16,,,0
Timber Mountain,20597,6/28/17,680,5.7,337,21,67,81,56,70,94,49,35,59,13,35,50,0
Timber Mountain,20597,6/29/17,701,5.2,3,15,69,81,54,71,94,49,27,42,15,32,49,0
Timber Mountain,20597,6/30/17,697,6.3,317,20,73,88,59,76,100,55,31,48,12,38,53,0
