Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Pinecrest 2,20491,8/1/17,468,3.6,154,30,76,93,63,77,104,59,36,55,19,46,58,0
Pinecrest 2,20491,8/2/17,610,3.3,180,14,76,93,62,78,110,59,41,63,24,49,59,0
Pinecrest 2,20491,8/3/17,540,3,173,13,73,86,62,75,101,60,46,65,20,49,58,0
Pinecrest 2,20491,8/4/17,321,2.4,181,15,70,83,60,72,94,59,45,62,23,46,56,0
Pinecrest 2,20491,8/5/17,471,3.2,176,14,68,82,57,71,97,54,49,69,32,47,55,0
Pinecrest 2,20491,8/6/17,644,3.4,207,18,67,81,54,69,98,51,48,74,23,45,54,0
Pinecrest 2,20491,8/7/17,531,3.3,196,13,66,81,54,67,96,50,51,71,33,46,54,0
Pinecrest 2,20491,8/8/17,649,3.4,207,18,67,83,53,69,100,49,49,75,27,45,54,0
Pinecrest 2,20491,8/9/17,645,3.5,200,19,67,81,54,69,98,50,47,68,27,44,53,0
Pinecrest 2,20491,8/10/17,650,3.3,190,15,67,83,54,70,100,50,48,70,26,45,54,0
Pinecrest 2,20491,8/11/17,652,3.7,189,15,67,83,53,69,100,49,48,73,23,44,54,0
Pinecrest 2,20491,8/12/17,655,3.9,192,15,67,82,51,68,99,47,45,70,19,42,52,0
Pinecrest 2,20491,8/13/17,636,3.5,200,15,66,83,52,68,99,48,41,71,19,39,51,0
Pinecrest 2,20491,8/14/17,597,4,184,22,63,77,51,65,93,48,47,82,21,40,51,0
Pinecrest 2,20491,8/15/17,585,2.9,209,14,61,73,49,64,91,46,68,92,48,49,54,0
Pinecrest 2,20491,8/16/17,577,3,206,12,64,80,51,67,98,48,69,95,43,53,57,0
Pinecrest 2,20491,8/17/17,644,3.2,188,15,69,84,53,72,100,50,55,79,26,51,57,0
Pinecrest 2,20491,8/18/17,556,4.1,147,28,71,88,56,73,106,51,43,76,24,45,56,0
Pinecrest 2,20491,8/19/17,473,4,145,23,69,86,59,71,104,56,44,61,29,46,55,0
Pinecrest 2,20491,8/20/17,361,3.2,146,15,65,82,56,66,98,53,59,79,34,50,56,0.01
Pinecrest 2,20491,8/21/17,425,3.2,123,12,64,81,54,65,99,50,61,77,38,49,55,0.02
Pinecrest 2,20491,8/22/17,478,3.3,181,14,66,81,55,68,94,50,51,71,28,46,54,0
Pinecrest 2,20491,8/23/17,563,3.7,174,14,68,83,55,70,97,52,42,65,21,42,53,0
Pinecrest 2,20491,8/24/17,616,3.7,186,16,68,84,55,71,102,51,40,57,23,41,52,0
Pinecrest 2,20491,8/25/17,606,3.3,175,13,69,86,55,72,103,51,41,59,23,43,54,0
Pinecrest 2,20491,8/26/17,620,3.7,178,16,74,91,59,77,107,55,32,48,16,40,54,0
Pinecrest 2,20491,8/27/17,531,3.4,189,14,74,90,61,76,105,57,30,45,17,40,54,0
Pinecrest 2,20491,8/28/17,574,3.8,168,20,75,92,60,76,104,56,27,45,13,36,53,0
Pinecrest 2,20491,8/29/17,380,3.6,168,15,74,88,65,75,99,60,31,48,19,41,55,0
Pinecrest 2,20491,8/30/17,496,4.5,161,24,72,86,60,73,100,56,38,85,21,43,55,0.03
Pinecrest 2,20491,8/31/17,582,3.5,196,16,73,87,61,74,101,56,31,47,18,39,54,0
Pinecrest 2,20491,9/1/17,589,3.8,127,17,74,91,59,76,107,54,31,49,12,39,54,0
Pinecrest 2,20491,9/2/17,532,3.6,156,16,76,92,62,77,106,58,29,44,13,39,55,0
Pinecrest 2,20491,9/3/17,400,4.1,137,33,74,90,64,75,103,61,32,43,20,41,55,0
Pinecrest 2,20491,9/4/17,331,3,134,14,73,91,59,73,103,56,46,72,16,48,58,0
Pinecrest 2,20491,9/5/17,363,3,163,15,68,83,57,69,94,55,63,96,30,53,59,0.01
Pinecrest 2,20491,9/6/17,400,2.8,176,16,65,78,55,66,89,53,72,96,44,55,58,0.01
Pinecrest 2,20491,9/7/17,,,,21,,75,55,,91,51,,85,35,,,
Pinecrest 2,20491,9/8/17,421,3.3,187,15,61,73,50,62,84,47,65,86,46,48,53,0
Pinecrest 2,20491,9/9/17,449,3.4,176,15,60,76,47,61,92,43,61,90,30,44,50,0.01
Pinecrest 2,20491,9/10/17,558,3.7,181,16,65,82,49,68,98,46,49,78,23,43,52,0
Pinecrest 2,20491,9/11/17,380,4.1,133,29,67,84,53,68,95,52,51,98,18,44,54,0.23
Pinecrest 2,20491,9/12/17,444,3,168,11,65,79,52,66,94,51,69,99,36,52,57,0
Pinecrest 2,20491,9/13/17,411,3.6,153,28,62,76,50,64,91,47,57,79,41,46,53,0
Pinecrest 2,20491,9/14/17,465,3,205,16,56,69,46,59,85,44,74,97,51,48,51,0
Pinecrest 2,20491,9/15/17,458,3,192,15,54,66,43,56,80,41,77,97,52,46,49,0
Pinecrest 2,20491,9/16/17,374,3.2,180,13,56,70,42,57,84,38,62,81,33,42,48,0
Pinecrest 2,20491,9/17/17,537,3.8,175,15,57,72,44,59,88,40,52,82,25,37,46,0
