Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Rush Creek,20600,6/1/17,619,7.3,172,19,56,67,48,59,78,47,62,97,30,42,48,0
Rush Creek,20600,6/2/17,696,5.4,192,18,63,78,50,65,93,45,43,74,19,38,49,0
Rush Creek,20600,6/3/17,552,7.2,175,21,64,74,56,66,86,52,39,52,23,37,49,0
Rush Creek,20600,6/4/17,632,6.9,185,28,60,72,51,63,83,48,37,58,12,32,46,0
Rush Creek,20600,6/5/17,704,5.1,173,23,63,78,47,65,90,43,31,53,16,30,46,0
Rush Creek,20600,6/6/17,717,6.1,172,20,66,78,58,68,93,53,26,40,15,29,47,0
Rush Creek,20600,6/7/17,529,8.6,178,37,62,71,55,63,80,49,35,57,21,33,47,0
Rush Creek,20600,6/8/17,549,14.2,190,44,50,57,42,52,67,42,62,95,41,37,43,0
Rush Creek,20600,6/9/17,550,10,192,35,47,57,40,49,67,40,69,100,34,36,41,0.17
Rush Creek,20600,6/10/17,546,9.1,203,28,41,51,33,44,61,32,72,98,37,32,37,0.15
Rush Creek,20600,6/11/17,355,6,329,26,38,48,32,40,56,32,90,100,58,35,36,0.22
Rush Creek,20600,6/12/17,185,9,328,32,41,50,37,42,53,37,83,99,55,36,39,0.04
Rush Creek,20600,6/13/17,638,4.6,324,15,51,64,38,54,77,37,57,90,34,35,42,0
Rush Creek,20600,6/14/17,608,6.3,175,20,58,70,47,60,82,42,36,48,24,31,44,0
Rush Creek,20600,6/15/17,562,8.6,172,26,60,67,52,61,77,47,51,75,32,42,50,0
Rush Creek,20600,6/16/17,678,10,179,27,65,77,56,68,86,55,60,77,40,50,55,0
Rush Creek,20600,6/17/17,718,6.5,345,21,65,75,53,68,88,52,51,73,30,45,53,0
Rush Creek,20600,6/18/17,728,4.9,22,19,75,87,60,77,99,57,38,59,23,46,57,0
Rush Creek,20600,6/19/17,534,6.8,152,48,79,90,71,79,104,64,29,42,16,43,57,0
Rush Creek,20600,6/20/17,730,5.2,309,21,77,92,65,80,106,61,39,58,21,49,59,0
Rush Creek,20600,6/21/17,727,7.9,352,25,72,85,60,75,98,58,36,64,18,41,54,0
Rush Creek,20600,6/22/17,750,6.2,17,22,70,83,57,73,95,53,21,34,14,28,49,0
Rush Creek,20600,6/23/17,739,4.4,142,20,76,90,60,78,103,53,20,33,14,31,52,0
Rush Creek,20600,6/24/17,731,3.2,79,18,80,91,68,82,106,60,19,24,12,34,54,0
Rush Creek,20600,6/25/17,607,5.8,173,31,78,90,68,78,105,61,31,48,13,43,57,0
Rush Creek,20600,6/26/17,733,7.3,179,30,70,81,60,72,94,57,38,63,17,40,53,0
Rush Creek,20600,6/27/17,743,6.3,170,24,67,78,56,68,92,50,32,50,12,33,49,0
Rush Creek,20600,6/28/17,695,5.9,208,23,67,80,57,69,93,52,33,51,15,35,50,0
Rush Creek,20600,6/29/17,733,4,268,16,69,82,56,72,96,51,24,35,15,30,49,0
Rush Creek,20600,6/30/17,729,4.6,212,17,74,88,59,76,103,54,26,42,13,35,52,0
Rush Creek,20600,7/1/17,718,5.4,325,19,71,85,59,75,98,58,38,64,19,42,54,0
Rush Creek,20600,7/2/17,719,5.2,186,22,73,86,60,76,101,56,37,55,17,44,56,0
Rush Creek,20600,7/3/17,722,5.9,189,23,73,86,63,75,100,58,38,55,16,44,55,0
Rush Creek,20600,7/4/17,724,7.7,175,23,71,83,61,73,96,58,35,58,18,40,53,0
Rush Creek,20600,7/5/17,704,7.1,173,24,73,87,61,75,99,54,24,36,12,33,52,0
Rush Creek,20600,7/6/17,715,6.8,188,22,78,88,68,80,102,65,21,31,12,33,53,0
Rush Creek,20600,7/7/17,713,4.2,183,20,78,88,69,79,103,60,18,27,11,31,53,0
Rush Creek,20600,7/8/17,697,5.1,183,22,80,91,70,81,108,62,16,25,11,29,53,0
Rush Creek,20600,7/9/17,701,5.8,235,34,78,89,67,79,102,63,18,31,10,29,52,0
Rush Creek,20600,7/10/17,704,6.1,270,25,72,84,61,75,97,56,28,47,15,36,52,0
Rush Creek,20600,7/11/17,700,5.6,181,22,73,85,61,75,99,58,32,50,18,40,54,0
Rush Creek,20600,7/12/17,705,6.2,190,22,74,87,65,75,99,59,25,35,15,35,52,0
Rush Creek,20600,7/13/17,708,5.8,175,21,73,86,61,74,101,55,28,44,15,37,53,0
Rush Creek,20600,7/14/17,670,5.4,173,19,75,91,64,76,106,56,27,35,14,37,53,0
Rush Creek,20600,7/15/17,703,6.7,282,22,74,86,65,76,100,59,27,40,10,36,53,0
Rush Creek,20600,7/16/17,706,6,329,19,74,87,63,77,101,61,23,38,10,32,51,0
Rush Creek,20600,7/17/17,699,5.5,194,33,72,84,61,73,98,55,24,36,14,32,50,0
Rush Creek,20600,7/18/17,707,7.3,177,24,70,81,61,71,93,56,25,36,14,31,49,0
Rush Creek,20600,7/19/17,719,6.2,199,23,69,82,59,70,95,53,18,25,9,22,47,0
Rush Creek,20600,7/20/17,707,5.6,192,26,69,81,57,70,94,51,26,44,14,32,49,0
Rush Creek,20600,7/21/17,706,5.2,297,19,71,86,57,74,99,54,28,45,8,34,51,0
Rush Creek,20600,7/22/17,686,5.9,357,21,76,91,60,79,102,58,23,40,13,34,53,0
Rush Creek,20600,7/23/17,570,4.6,183,21,77,91,67,78,103,62,26,38,14,39,55,0
Rush Creek,20600,7/24/17,508,4.5,101,26,74,88,63,75,101,58,37,64,19,45,56,0.09
Rush Creek,20600,7/25/17,492,4.5,102,90,70,83,62,70,100,56,42,56,22,45,55,0.15
Rush Creek,20600,7/26/17,575,4.8,184,23,68,82,59,68,100,54,44,57,22,44,54,0.04
Rush Creek,20600,7/27/17,673,4.4,171,17,73,85,63,74,99,55,29,41,15,38,53,0
Rush Creek,20600,7/28/17,673,4.8,200,21,76,89,65,77,103,59,28,48,12,38,54,0
Rush Creek,20600,7/29/17,636,4.3,284,17,76,91,62,78,106,58,33,61,8,39,55,0
Rush Creek,20600,7/30/17,570,4.2,331,17,77,89,64,78,105,61,27,49,15,38,55,0
Rush Creek,20600,7/31/17,469,4.2,333,18,80,91,66,80,108,62,22,33,13,36,55,0
Rush Creek,20600,8/1/17,482,5.7,7,38,82,96,71,83,115,69,21,29,12,37,56,0
Rush Creek,20600,8/2/17,364,5,135,24,82,95,74,82,111,68,22,38,14,39,57,0
Rush Creek,20600,8/3/17,458,3.2,216,19,81,93,69,82,108,64,32,48,15,46,59,0
Rush Creek,20600,8/4/17,441,7,167,23,75,87,68,77,97,62,32,44,16,43,56,0
Rush Creek,20600,8/5/17,281,5.5,164,18,71,78,65,71,87,60,38,49,30,44,55,0
Rush Creek,20600,8/6/17,228,3.8,128,25,65,80,56,64,94,54,50,85,32,46,53,0.22
Rush Creek,20600,8/7/17,460,4.1,69,29,66,78,60,67,96,55,49,59,35,46,54,0.01
Rush Creek,20600,8/8/17,470,3.3,183,15,70,81,60,71,95,54,45,59,28,47,56,0
Rush Creek,20600,8/9/17,367,4.3,123,20,69,80,62,70,94,58,49,67,30,49,56,0.01
Rush Creek,20600,8/10/17,491,3.9,182,24,71,83,62,71,94,57,37,49,19,43,54,0
Rush Creek,20600,8/11/17,589,5.6,176,20,70,81,60,73,96,55,39,55,21,43,54,0
Rush Creek,20600,8/12/17,580,6,178,24,71,82,63,73,95,57,40,60,22,44,55,0
Rush Creek,20600,8/13/17,563,6.3,232,25,69,80,59,71,92,55,35,66,18,39,52,0
Rush Creek,20600,8/14/17,514,5.3,224,19,65,78,54,69,92,53,53,86,28,46,54,0
Rush Creek,20600,8/15/17,562,4.7,228,19,67,81,56,70,95,51,41,63,24,41,52,0
Rush Creek,20600,8/16/17,570,5.7,327,20,70,82,57,73,97,54,27,46,17,33,50,0
Rush Creek,20600,8/17/17,571,5.8,327,18,73,85,60,76,102,58,29,49,12,36,52,0
Rush Creek,20600,8/18/17,560,5.6,293,20,75,90,64,77,104,57,22,31,11,33,52,0
Rush Creek,20600,8/19/17,524,5.3,322,17,71,85,58,74,100,56,28,45,17,35,52,0
Rush Creek,20600,8/20/17,531,4.4,334,17,72,85,60,75,100,56,24,35,14,33,51,0
Rush Creek,20600,8/21/17,497,4.5,170,19,75,90,64,77,106,58,27,60,13,36,53,0
Rush Creek,20600,8/22/17,518,7,162,26,69,84,59,72,96,56,49,79,23,47,56,0.15
Rush Creek,20600,8/23/17,472,4.7,176,21,71,82,62,73,95,59,37,59,18,41,54,0
Rush Creek,20600,8/24/17,528,5.1,172,21,71,82,62,72,99,55,30,54,18,37,52,0
Rush Creek,20600,8/25/17,562,4.5,182,20,71,85,58,72,98,52,30,63,10,32,51,0
Rush Creek,20600,8/26/17,550,4.5,178,22,77,89,65,77,102,57,19,29,12,30,52,0
Rush Creek,20600,8/27/17,518,4.2,278,19,79,90,71,79,104,63,15,20,9,28,52,0
Rush Creek,20600,8/28/17,545,5.1,191,25,79,90,68,80,106,63,17,25,12,29,52,0
Rush Creek,20600,8/29/17,525,7.2,170,28,79,92,70,79,102,62,21,33,14,35,54,0
Rush Creek,20600,8/30/17,552,7,186,25,74,87,62,76,102,61,25,40,9,33,52,0
Rush Creek,20600,8/31/17,499,4.9,356,23,71,81,57,73,95,55,25,42,13,31,50,0
Rush Creek,20600,9/1/17,511,4.3,138,18,79,91,66,80,105,59,15,23,9,27,52,0
Rush Creek,20600,9/2/17,505,4.7,167,20,84,94,75,83,110,66,14,18,9,29,54,0
Rush Creek,20600,9/3/17,429,5.3,321,28,81,96,73,82,112,67,21,30,11,37,56,0
Rush Creek,20600,9/4/17,446,7.1,164,28,80,94,71,82,105,68,22,30,11,37,55,0
Rush Creek,20600,9/5/17,472,7.2,155,26,80,94,68,81,104,67,29,60,9,40,57,0.01
