Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Santa Rosa,20332,9/1/17,205,3.9,246,18,90,109,75,90,118,70,20,39,11,42,61,0
Santa Rosa,20332,9/2/17,369,3.8,224,25,93,110,81,93,117,77,20,37,10,45,62,0
Santa Rosa,20332,9/3/17,493,4,204,18,84,98,69,85,109,68,33,57,19,50,62,0
Santa Rosa,20332,9/4/17,288,4.2,282,21,74,85,66,75,92,65,56,75,38,57,62,0
Santa Rosa,20332,9/5/17,358,5.6,291,19,72,83,66,73,93,64,72,91,54,62,65,0
Santa Rosa,20332,9/6/17,406,5.1,237,20,67,78,60,70,89,57,78,97,53,59,62,0
Santa Rosa,20332,9/7/17,87,3.8,210,12,64,68,61,64,70,60,92,100,81,62,62,0.01
Santa Rosa,20332,9/8/17,334,4.7,227,18,66,81,58,69,93,58,83,100,49,60,62,0
Santa Rosa,20332,9/9/17,464,3.1,184,14,67,81,57,70,92,58,78,100,47,59,61,0
Santa Rosa,20332,9/10/17,191,3.9,189,18,79,98,59,80,108,57,51,93,19,56,64,0
Santa Rosa,20332,9/11/17,463,4.8,229,23,75,96,62,78,106,61,57,92,20,56,62,0
Santa Rosa,20332,9/12/17,428,5.5,201,23,69,86,61,72,101,61,74,97,37,59,63,0
Santa Rosa,20332,9/13/17,113,6.6,232,16,61,66,58,62,69,58,95,100,81,60,60,0.05
Santa Rosa,20332,9/14/17,426,5,206,19,64,76,56,65,85,50,73,100,41,53,57,0.01
Santa Rosa,20332,9/15/17,485,4.7,207,19,62,77,53,64,87,49,64,100,38,49,54,0
Santa Rosa,20332,9/16/17,407,3.5,194,16,60,76,53,62,84,50,82,100,43,53,56,0
Santa Rosa,20332,9/17/17,424,3.6,234,15,63,79,48,65,87,47,71,100,29,51,56,0
Santa Rosa,20332,9/18/17,403,7.9,248,32,65,77,57,67,86,54,69,100,46,54,58,0
Santa Rosa,20332,9/19/17,424,7.2,318,25,65,77,53,66,87,49,53,81,30,46,53,0
Santa Rosa,20332,9/20/17,234,8,264,29,63,74,54,64,81,51,63,83,49,50,55,0
Santa Rosa,20332,9/21/17,464,5.6,298,19,60,73,50,61,84,47,53,77,21,40,49,0
Santa Rosa,20332,9/22/17,421,3.8,227,21,60,74,50,61,84,46,53,75,30,42,50,0
Santa Rosa,20332,9/23/17,448,4,18,23,68,81,56,68,93,52,31,58,11,33,49,0
Santa Rosa,20332,9/24/17,249,4.2,6,31,72,84,62,72,95,58,25,38,12,33,51,0
Santa Rosa,20332,9/25/17,448,3.7,0,21,73,89,60,74,100,54,30,46,12,38,53,0
Santa Rosa,20332,9/26/17,456,3.9,34,22,81,92,69,80,102,66,23,38,13,37,56,0
Santa Rosa,20332,9/27/17,365,4.8,190,21,78,93,65,78,105,61,24,40,12,36,54,0
Santa Rosa,20332,9/28/17,447,3.8,196,18,67,86,53,68,96,50,50,99,18,45,54,0
Santa Rosa,20332,9/29/17,374,4,198,17,61,78,52,63,89,51,80,100,39,54,56,0
Santa Rosa,20332,9/30/17,406,4.8,319,21,66,82,54,67,92,51,60,100,35,50,56,0
Santa Rosa,20332,10/1/17,428,5.8,335,19,67,80,56,68,91,53,38,54,16,38,51,0
Santa Rosa,20332,10/2/17,439,5.9,321,22,66,79,53,67,91,49,29,61,8,30,48,0
Santa Rosa,20332,10/3/17,424,3.5,17,24,64,79,49,64,91,45,36,70,14,32,48,0
Santa Rosa,20332,10/4/17,419,3.5,209,18,63,78,51,63,90,46,40,76,16,36,48,0
Santa Rosa,20332,10/5/17,420,3.4,222,20,66,83,52,66,94,48,30,49,14,32,48,0
Santa Rosa,20332,10/6/17,413,3.8,240,20,71,88,58,70,97,54,27,59,11,33,50,0
Santa Rosa,20332,10/7/17,405,4.1,286,18,69,85,58,70,95,55,36,64,17,40,53,0
Santa Rosa,20332,10/8/17,398,8.2,29,53,69,84,55,71,94,52,29,64,4,27,49,0
Santa Rosa,20332,10/9/17,124,8.8,158,68,70,91,59,72,122,57,18,39,7,22,47,0
Santa Rosa,20332,10/10/17,214,3.4,184,15,63,77,51,64,85,49,44,87,22,39,50,0
Santa Rosa,20332,10/11/17,264,6.1,346,25,59,73,49,60,80,46,46,100,13,35,47,0
Santa Rosa,20332,10/12/17,285,5.5,324,16,60,74,48,62,85,44,38,58,8,31,45,0
Santa Rosa,20332,10/13/17,268,4.3,317,17,61,76,49,63,88,47,44,66,17,37,48,0
Santa Rosa,20332,10/14/17,267,3.9,270,18,67,80,60,68,91,56,25,41,13,30,48,0
Santa Rosa,20332,10/15/17,253,2.6,213,12,67,84,56,68,96,51,28,42,14,32,48,0
Santa Rosa,20332,10/16/17,256,2.1,200,9,71,85,60,71,93,55,25,33,15,33,50,0
Santa Rosa,20332,10/17/17,263,2.7,140,18,64,82,46,65,93,44,42,99,13,36,49,0
Santa Rosa,20332,10/18/17,262,3.3,180,16,52,71,41,55,83,41,84,100,27,46,48,0
Santa Rosa,20332,10/19/17,122,6.5,229,34,54,59,48,55,64,48,97,100,84,53,53,0.5
Santa Rosa,20332,10/20/17,189,4,279,19,52,60,48,52,66,46,84,100,59,47,49,0.01
Santa Rosa,20332,10/21/17,287,4.6,313,22,57,70,47,59,81,44,72,95,43,47,51,0
Santa Rosa,20332,10/22/17,303,4.1,351,16,64,77,52,67,90,50,68,100,37,52,56,0
Santa Rosa,20332,10/23/17,292,3.3,248,15,73,87,62,74,98,60,51,67,29,52,59,0
Santa Rosa,20332,10/24/17,278,3.5,244,10,75,89,64,77,99,60,44,61,26,51,60,0
Santa Rosa,20332,10/25/17,288,2.7,185,13,75,90,66,77,101,62,39,53,20,48,58,0
Santa Rosa,20332,10/26/17,291,2.3,208,12,74,90,65,75,101,61,40,53,21,47,57,0
Santa Rosa,20332,10/27/17,291,2.5,188,12,69,89,53,71,101,51,47,88,19,46,55,0
Santa Rosa,20332,10/28/17,274,2.7,192,12,58,78,49,61,89,48,78,100,36,49,53,0
Santa Rosa,20332,10/29/17,227,2.4,181,14,53,69,48,57,82,49,92,100,55,50,51,0
Santa Rosa,20332,10/30/17,211,2.8,159,15,53,65,48,56,79,47,88,100,52,49,50,0.01
Santa Rosa,20332,10/31/17,253,3.5,182,15,54,68,47,57,80,47,82,100,46,48,50,0
