Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Ben Bolt,20656,6/1/17,667,3,283,15,69,86,51,75,108,48,66,98,33,55,59,0
Ben Bolt,20656,6/2/17,684,3.2,344,17,73,90,55,79,113,50,56,95,26,53,60,0
Ben Bolt,20656,6/3/17,590,2.8,301,17,74,93,58,77,112,53,50,82,13,50,59,0
Ben Bolt,20656,6/4/17,691,4.3,303,17,69,91,51,73,109,46,44,75,14,43,54,0
Ben Bolt,20656,6/5/17,692,3.9,337,16,72,92,52,78,115,47,41,69,14,43,55,0
Ben Bolt,20656,6/6/17,697,3.9,301,16,74,93,56,79,115,50,42,75,16,46,57,0
Ben Bolt,20656,6/7/17,518,4.4,220,17,68,83,52,71,101,48,49,78,21,46,54,0
Ben Bolt,20656,6/8/17,190,3.1,21,15,59,66,55,60,70,54,79,94,61,52,55,0.15
Ben Bolt,20656,6/9/17,241,3.6,227,20,63,73,51,64,79,45,74,96,47,54,57,0
Ben Bolt,20656,6/10/17,684,4,220,20,60,77,43,66,98,40,58,95,27,44,51,0
Ben Bolt,20656,6/11/17,348,6,173,22,55,66,45,56,74,41,65,87,40,42,48,0.01
Ben Bolt,20656,6/12/17,373,3,20,16,58,69,46,61,85,44,64,88,41,44,50,0
Ben Bolt,20656,6/13/17,684,5.4,0,19,66,82,48,72,104,45,53,88,30,46,54,0
Ben Bolt,20656,6/14/17,696,4.5,2,21,73,92,53,78,112,50,46,79,18,47,57,0
Ben Bolt,20656,6/15/17,684,4.5,356,19,76,92,54,81,116,51,45,82,18,49,59,0
Ben Bolt,20656,6/16/17,676,4.9,358,21,81,97,59,87,118,56,45,76,25,55,64,0
Ben Bolt,20656,6/17/17,679,4.6,348,22,85,98,67,90,121,63,43,72,22,57,66,0
Ben Bolt,20656,6/18/17,672,3.8,352,16,89,106,67,95,128,65,43,77,21,60,69,0
Ben Bolt,20656,6/19/17,651,3.5,322,16,90,109,74,96,131,71,44,72,21,62,70,0
Ben Bolt,20656,6/20/17,666,3.8,249,15,89,107,72,94,129,68,44,74,20,61,69,0
Ben Bolt,20656,6/21/17,661,3.4,333,13,89,107,66,94,127,63,45,83,18,61,69,0
Ben Bolt,20656,6/22/17,668,3.7,348,16,90,110,71,96,131,68,38,63,16,58,68,0
Ben Bolt,20656,6/23/17,672,3.1,264,16,85,105,66,90,125,64,45,79,18,58,66,0
Ben Bolt,20656,6/24/17,674,3.5,225,16,82,102,62,88,122,59,50,85,25,59,66,0
Ben Bolt,20656,6/25/17,667,3.6,212,15,78,98,62,83,116,57,42,72,18,51,61,0
Ben Bolt,20656,6/26/17,694,3.4,220,15,71,92,54,77,112,50,54,80,27,52,59,0
Ben Bolt,20656,6/27/17,692,3.3,226,15,71,91,53,77,110,49,58,90,26,53,59,0
Ben Bolt,20656,6/28/17,695,3,214,17,73,94,52,78,111,49,54,88,22,53,60,0
Ben Bolt,20656,6/29/17,690,3.3,269,18,77,97,56,82,118,51,49,87,21,53,61,0
Ben Bolt,20656,6/30/17,680,3,241,14,77,96,56,82,118,53,46,78,23,52,61,0
Ben Bolt,20656,7/1/17,688,2.5,279,14,75,96,55,80,115,51,45,76,17,50,59,0
Ben Bolt,20656,7/2/17,684,3.5,232,15,78,98,58,84,119,55,48,80,21,54,62,0
Ben Bolt,20656,7/3/17,668,3.6,326,17,79,99,61,84,118,57,37,72,16,46,59,0
Ben Bolt,20656,7/4/17,683,3.3,277,15,80,99,60,85,120,55,33,64,18,45,58,0
Ben Bolt,20656,7/5/17,630,3.5,301,16,79,98,59,84,116,55,38,67,17,47,59,0
Ben Bolt,20656,7/6/17,670,4.2,336,16,85,103,66,91,125,63,35,63,14,50,63,0
Ben Bolt,20656,7/7/17,681,6.1,350,26,88,106,69,93,126,65,30,57,11,49,63,0
Ben Bolt,20656,7/8/17,664,3.5,306,21,88,108,70,92,128,64,26,51,8,44,61,0
Ben Bolt,20656,7/9/17,675,3.6,295,15,85,107,64,90,127,60,24,49,9,39,58,0
