Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Dog Valley,20487,7/1/17,695,1,266,11,68,88,50,73,110,47,45,84,13,41,53,0
Dog Valley,20487,7/2/17,685,1.2,265,11,70,91,47,75,112,43,45,79,17,44,54,0
Dog Valley,20487,7/3/17,679,1,242,10,70,91,49,75,112,46,47,80,22,46,55,0
Dog Valley,20487,7/4/17,697,1.3,258,15,68,89,50,73,110,47,48,81,18,44,54,0
Dog Valley,20487,7/5/17,689,1.5,258,16,68,87,48,72,109,45,45,79,18,41,52,0
Dog Valley,20487,7/6/17,548,0.6,256,8,67,89,50,70,111,47,59,87,25,49,56,0.06
Dog Valley,20487,7/7/17,683,1.2,292,11,71,92,51,76,114,48,47,87,18,45,55,0
Dog Valley,20487,7/8/17,677,1.2,246,14,73,96,49,77,118,45,41,77,17,43,55,0
Dog Valley,20487,7/9/17,683,1.3,247,12,72,91,53,76,113,49,39,69,17,42,54,0
Dog Valley,20487,7/10/17,706,1.5,236,16,69,87,48,73,109,43,32,67,12,33,50,0
Dog Valley,20487,7/11/17,696,1.4,254,12,68,87,46,73,110,42,32,59,12,33,49,0
Dog Valley,20487,7/12/17,699,1.1,240,11,68,90,45,72,112,41,38,71,14,37,50,0
Dog Valley,20487,7/13/17,683,1.4,266,13,69,90,48,72,111,44,40,74,14,39,52,0
Dog Valley,20487,7/14/17,632,0.9,252,12,70,92,49,72,108,44,38,61,19,40,53,0
Dog Valley,20487,7/15/17,663,1.2,265,11,72,93,49,75,109,44,34,69,13,37,52,0
Dog Valley,20487,7/16/17,693,1.2,242,13,70,92,48,73,110,44,34,76,10,35,51,0
Dog Valley,20487,7/17/17,693,1.6,267,19,68,86,48,69,102,44,32,56,15,34,49,0.17
Dog Valley,20487,7/18/17,714,1.4,252,20,64,85,41,66,99,36,37,73,12,31,47,0
Dog Valley,20487,7/19/17,696,1.2,247,13,64,88,41,66,103,36,35,71,9,30,46,0
Dog Valley,20487,7/20/17,665,1.2,255,10,64,87,41,66,102,37,33,58,12,30,47,0
Dog Valley,20487,7/21/17,695,1,246,13,65,91,38,67,106,33,32,61,9,29,46,0
Dog Valley,20487,7/22/17,654,0.7,263,9,70,94,45,72,110,40,38,68,14,38,52,0
Dog Valley,20487,7/23/17,670,1.2,240,12,72,96,50,75,110,45,40,71,14,42,54,0
Dog Valley,20487,7/24/17,530,0.9,297,11,72,87,57,75,102,54,44,65,25,47,56,0
Dog Valley,20487,7/25/17,500,0.8,286,13,66,85,49,67,107,46,59,90,32,49,55,0.01
Dog Valley,20487,7/26/17,485,1.1,260,16,63,83,46,64,95,42,57,98,28,45,52,0.18
Dog Valley,20487,7/27/17,629,1,282,11,66,87,42,68,105,38,48,91,18,41,51,0
Dog Valley,20487,7/28/17,682,1,265,10,71,94,48,74,111,44,45,89,13,43,54,0
Dog Valley,20487,7/29/17,439,0.8,246,9,67,91,51,68,109,47,46,73,19,43,53,0
Dog Valley,20487,7/30/17,592,1,299,9,71,92,50,73,109,46,43,78,16,44,55,0
Dog Valley,20487,7/31/17,601,0.8,246,9,73,96,51,75,112,47,40,68,13,43,55,0
Dog Valley,20487,8/1/17,515,1,212,12,74,98,53,76,114,48,38,66,13,43,56,0
Dog Valley,20487,8/2/17,442,1.4,270,15,76,98,60,77,116,56,35,61,15,43,56,0
Dog Valley,20487,8/3/17,361,1.5,254,15,75,93,57,75,108,55,38,65,19,46,57,0
Dog Valley,20487,8/4/17,577,1.9,212,14,75,92,61,77,107,58,34,51,19,43,56,0
Dog Valley,20487,8/5/17,312,1.3,254,14,66,82,55,67,98,52,54,82,29,48,55,0
Dog Valley,20487,8/6/17,442,0.7,291,9,60,85,45,62,105,41,70,99,25,48,53,0.44
Dog Valley,20487,8/7/17,399,0.6,299,8,57,80,43,58,96,41,81,100,34,49,52,1.1
Dog Valley,20487,8/8/17,507,0.8,293,11,63,85,44,64,97,42,67,100,27,49,54,0.01
Dog Valley,20487,8/9/17,446,0.5,286,9,63,83,48,64,96,47,70,100,30,51,55,0.09
Dog Valley,20487,8/10/17,507,0.6,256,9,64,84,44,65,94,42,60,99,20,46,53,0
Dog Valley,20487,8/11/17,587,1.2,261,12,66,86,49,68,101,46,50,83,16,42,52,0
Dog Valley,20487,8/12/17,578,1,262,12,65,85,44,67,99,41,51,88,21,42,52,0
Dog Valley,20487,8/13/17,567,1.4,228,14,67,86,48,69,100,44,40,72,17,37,50,0
Dog Valley,20487,8/14/17,,,,10,,80,50,,97,47,,84,25,,,
Dog Valley,20487,8/15/17,423,0.7,264,8,62,82,43,64,98,41,62,96,28,46,52,0
Dog Valley,20487,8/16/17,512,0.6,341,9,66,85,47,68,102,45,53,88,21,44,53,0
Dog Valley,20487,8/17/17,525,0.5,283,8,66,88,46,69,105,42,45,77,18,41,51,0
Dog Valley,20487,8/18/17,487,0.9,269,9,69,90,46,71,109,43,41,79,16,40,52,0
