Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Hurley,20300,5/1/17,652,1.5,342,12,68,84,49,69,98,46,64,96,32,52,57,0
Hurley,20300,5/2/17,640,1.4,7,12,71,87,53,73,100,50,60,93,29,54,60,0
Hurley,20300,5/3/17,637,1.3,22,10,74,93,55,75,106,53,64,96,26,58,63,0
Hurley,20300,5/4/17,646,1.6,69,13,78,95,57,79,108,54,56,89,24,58,64,0
Hurley,20300,5/5/17,557,2.2,278,14,69,82,53,71,97,49,63,96,30,54,59,0
Hurley,20300,5/6/17,220,1.5,273,15,54,60,48,55,70,47,71,92,47,44,48,0
Hurley,20300,5/7/17,529,2.2,167,18,56,69,46,59,85,46,72,96,42,46,50,0.04
Hurley,20300,5/8/17,489,1.5,41,11,63,77,51,66,91,48,66,93,39,50,55,0
Hurley,20300,5/9/17,636,2.1,351,13,68,84,50,70,98,46,62,95,27,51,57,0
Hurley,20300,5/10/17,637,1.6,284,11,67,82,50,70,96,47,63,96,35,52,57,0
Hurley,20300,5/11/17,647,1.7,257,13,65,80,50,68,95,48,69,96,41,53,57,0
Hurley,20300,5/12/17,352,2.8,306,20,57,69,49,59,79,44,60,98,30,41,49,0
Hurley,20300,5/13/17,692,2.4,326,19,54,70,35,58,85,32,56,96,22,35,44,0
Hurley,20300,5/14/17,648,2.5,312,14,56,70,35,59,87,32,55,95,28,37,45,0
Hurley,20300,5/15/17,353,2,65,12,54,64,39,56,79,37,72,96,45,44,48,0
Hurley,20300,5/16/17,500,2.3,315,15,59,70,41,62,85,38,62,98,36,44,50,0
Hurley,20300,5/17/17,602,3,292,19,60,74,45,64,90,42,59,88,26,43,51,0
Hurley,20300,5/18/17,682,2.3,151,13,62,79,40,66,96,38,57,95,26,43,51,0
Hurley,20300,5/19/17,687,2.2,354,13,68,87,45,71,103,43,48,93,17,43,53,0
Hurley,20300,5/20/17,682,2.3,351,13,73,92,51,76,108,47,46,84,18,46,57,0
Hurley,20300,5/21/17,692,2.2,358,14,75,94,53,78,110,50,45,87,13,47,58,0
Hurley,20300,5/22/17,684,2.2,351,13,78,98,56,80,114,52,43,79,15,48,59,0
Hurley,20300,5/23/17,685,2.3,354,14,81,100,57,83,115,53,41,81,17,50,61,0
Hurley,20300,5/24/17,471,1.5,12,12,75,91,57,76,106,53,50,86,25,52,60,0
Hurley,20300,5/25/17,684,2.1,227,14,67,80,54,70,97,49,53,90,29,47,55,0
Hurley,20300,5/26/17,358,1.8,199,11,61,71,51,64,81,47,67,88,47,50,54,0
Hurley,20300,5/27/17,674,2.2,311,14,66,81,48,71,100,45,63,96,35,51,56,0
Hurley,20300,5/28/17,679,2.2,310,14,71,89,49,75,107,47,57,95,27,52,58,0
Hurley,20300,5/29/17,633,2.2,324,14,74,89,53,78,109,50,54,91,28,53,60,0
Hurley,20300,5/30/17,609,1.9,190,14,73,88,57,77,104,54,55,92,31,54,60,0
Hurley,20300,5/31/17,301,0.9,44,11,63,74,53,65,87,50,67,92,44,51,56,0.02
Hurley,20300,6/1/17,676,2.7,331,19,69,83,49,74,101,47,60,96,35,52,58,0
Hurley,20300,6/2/17,677,2.1,63,12,74,92,53,78,107,51,56,92,29,55,61,0
Hurley,20300,6/3/17,657,2.5,346,16,78,95,59,82,112,56,49,90,20,54,62,0
Hurley,20300,6/4/17,688,2.8,337,18,76,93,55,79,110,51,41,85,9,44,57,0
Hurley,20300,6/5/17,713,2.5,311,17,72,92,50,75,107,47,41,80,10,41,54,0
Hurley,20300,6/6/17,711,2.5,334,14,75,95,51,78,110,47,37,74,12,41,55,0
Hurley,20300,6/7/17,676,2.1,305,17,74,92,51,77,108,48,39,76,15,43,55,0
Hurley,20300,6/8/17,601,2.5,306,18,70,84,50,74,102,48,42,83,16,42,54,0
Hurley,20300,6/9/17,501,2.5,264,15,71,79,58,75,100,54,54,68,42,53,60,0
Hurley,20300,6/10/17,653,2.3,252,16,64,76,51,68,94,48,50,82,23,42,51,0
Hurley,20300,6/11/17,477,3.1,307,23,57,70,44,60,87,40,54,89,24,38,47,0
Hurley,20300,6/12/17,716,2.8,326,18,59,73,36,63,89,34,54,92,30,40,48,0
Hurley,20300,6/13/17,708,2.1,313,12,65,81,42,70,97,40,51,90,24,44,52,0
Hurley,20300,6/14/17,694,2.4,339,15,72,89,49,76,105,47,51,88,27,49,58,0
Hurley,20300,6/15/17,699,2.7,330,18,76,93,53,80,110,50,46,88,18,49,59,0
Hurley,20300,6/16/17,683,2.3,240,12,78,96,56,83,111,53,50,82,24,55,63,0
Hurley,20300,6/17/17,677,2.3,88,16,83,98,63,87,113,60,48,85,25,58,66,0
Hurley,20300,6/18/17,670,2,322,12,88,105,66,92,120,63,46,80,22,60,68,0
Hurley,20300,6/19/17,671,2,331,15,89,106,69,93,122,67,47,81,22,62,70,0
Hurley,20300,6/20/17,673,2.5,335,17,90,106,69,94,121,66,40,74,17,58,68,0
Hurley,20300,6/21/17,675,2.6,325,15,87,104,67,92,120,65,40,72,15,57,66,0
Hurley,20300,6/22/17,678,2.5,333,15,90,106,69,94,123,66,38,67,18,57,67,0
Hurley,20300,6/23/17,678,2.4,322,16,88,106,69,92,122,66,42,73,21,59,67,0
Hurley,20300,6/24/17,580,2.2,267,13,86,102,65,89,116,62,45,72,24,60,67,0
Hurley,20300,6/25/17,673,2.4,23,16,86,103,66,90,118,64,46,81,21,59,67,0
Hurley,20300,6/26/17,700,1.8,277,13,79,97,60,83,113,56,45,84,13,51,61,0
Hurley,20300,6/27/17,708,2.3,315,14,76,94,54,80,109,50,45,72,22,50,59,0
Hurley,20300,6/28/17,704,2.4,292,15,76,93,54,80,110,51,46,83,19,49,59,0
Hurley,20300,6/29/17,704,2.8,312,17,78,95,55,82,111,52,42,79,14,49,59,0
Hurley,20300,6/30/17,682,2.5,208,16,79,95,58,83,111,55,44,76,22,52,61,0
