Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Parkfield,20470,6/1/17,677,2.6,50,14,69,87,47,73,106,44,55,91,28,50,57,0
Parkfield,20470,6/2/17,718,1.9,16,13,73,94,49,77,110,46,50,90,23,50,58,0
Parkfield,20470,6/3/17,705,2.3,266,13,76,96,54,80,114,50,44,78,20,49,59,0
Parkfield,20470,6/4/17,727,2.5,294,17,74,94,52,78,110,48,40,78,15,44,56,0
Parkfield,20470,6/5/17,745,1.7,342,13,72,94,48,76,112,43,36,71,12,39,53,0
Parkfield,20470,6/6/17,741,2.4,281,16,73,94,48,76,112,43,37,70,13,40,54,0
Parkfield,20470,6/7/17,707,2.2,150,17,68,89,49,72,108,44,48,76,15,44,54,0
Parkfield,20470,6/8/17,716,2.6,298,20,67,84,46,72,101,42,51,84,15,45,54,0
Parkfield,20470,6/9/17,618,3.4,253,19,66,80,52,71,100,49,63,85,41,53,57,0
Parkfield,20470,6/10/17,725,3,310,18,62,79,44,67,99,40,53,86,28,43,51,0
Parkfield,20470,6/11/17,752,5.3,306,24,57,70,45,61,83,40,51,88,19,36,46,0
Parkfield,20470,6/12/17,689,3,282,17,60,76,41,64,93,37,54,86,27,41,49,0
Parkfield,20470,6/13/17,739,2.4,30,14,64,82,42,68,99,38,49,86,25,42,51,0
Parkfield,20470,6/14/17,739,2.2,1,14,72,90,48,76,108,44,40,77,19,43,55,0
Parkfield,20470,6/15/17,742,2.5,7,15,76,96,50,79,114,46,36,70,14,43,56,0
Parkfield,20470,6/16/17,732,2.9,27,19,78,98,53,82,116,48,41,71,22,50,60,0
Parkfield,20470,6/17/17,718,2.7,6,16,83,102,62,87,119,58,41,71,22,54,64,0
Parkfield,20470,6/18/17,,,,18,,107,63,,122,59,,63,16,,,
Parkfield,20470,6/19/17,,,,16,,105,64,,122,61,,68,20,,,
Parkfield,20470,6/20/17,710,2.2,286,16,86,106,64,90,123,61,38,69,16,54,64,0
Parkfield,20470,6/21/17,744,1.8,196,14,84,105,59,88,122,54,37,76,10,49,62,0
Parkfield,20470,6/22/17,725,2.1,246,18,84,104,62,88,123,58,38,67,17,52,63,0
Parkfield,20470,6/23/17,714,1.9,202,15,83,108,61,88,125,57,38,63,16,52,62,0
Parkfield,20470,6/24/17,585,1.5,258,17,82,104,60,85,119,57,43,71,21,54,63,0
Parkfield,20470,6/25/17,740,2,278,14,81,102,59,85,121,54,40,75,9,48,60,0
Parkfield,20470,6/26/17,753,1.9,12,14,76,99,48,79,116,43,39,82,10,42,56,0
Parkfield,20470,6/27/17,745,2.2,277,15,73,96,47,78,113,43,42,76,15,45,56,0
Parkfield,20470,6/28/17,743,2.3,322,17,74,95,49,78,113,45,42,83,15,45,56,0
Parkfield,20470,6/29/17,744,2.5,330,17,75,97,50,79,115,46,36,71,11,41,55,0
Parkfield,20470,6/30/17,735,2.2,342,14,76,98,49,80,116,44,37,69,16,44,56,0
Parkfield,20470,7/1/17,739,2.2,196,15,72,95,50,76,113,45,43,79,11,43,55,0
Parkfield,20470,7/2/17,726,2.4,274,15,72,91,49,77,109,45,47,76,25,49,57,0
Parkfield,20470,7/3/17,722,2,294,15,75,95,51,79,113,47,42,82,15,46,57,0
Parkfield,20470,7/4/17,744,1.7,279,15,79,100,52,83,117,48,26,59,5,33,54,0
Parkfield,20470,7/5/17,674,1.8,199,16,82,103,56,86,119,53,30,49,16,45,59,0
Parkfield,20470,7/6/17,702,1.9,359,14,85,107,62,89,124,59,32,59,13,48,61,0
Parkfield,20470,7/7/17,708,3.5,10,22,87,104,63,90,123,59,28,56,14,46,61,0
Parkfield,20470,7/8/17,656,2.2,343,16,87,106,65,89,124,61,24,43,8,41,59,0
Parkfield,20470,7/9/17,643,2,291,15,83,105,63,86,121,59,30,47,11,45,59,0
