Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Konocti,20338,9/1/17,531,5,154,16,91,104,81,93,121,75,16,19,9,37,59,0
Konocti,20338,9/2/17,516,3.9,263,15,92,107,80,94,122,74,18,27,9,41,61,0
Konocti,20338,9/3/17,540,4.9,294,19,91,105,79,94,123,73,20,26,10,43,61,0
Konocti,20338,9/4/17,407,5.5,170,23,85,99,72,88,114,70,30,59,14,48,62,0
Konocti,20338,9/5/17,516,5.7,278,19,77,90,67,81,108,65,58,74,39,60,65,0
Konocti,20338,9/6/17,532,3.9,185,19,75,87,64,78,103,61,52,80,26,54,61,0
Konocti,20338,9/7/17,207,3.8,266,19,63,74,58,65,86,56,75,91,55,55,58,0
Konocti,20338,9/8/17,520,4.5,289,16,71,84,56,75,102,54,64,98,39,57,62,0
Konocti,20338,9/9/17,512,4.6,295,20,78,92,65,82,111,61,43,66,23,52,61,0
Konocti,20338,9/10/17,527,4,96,18,82,96,71,86,114,65,31,42,18,48,60,0
Konocti,20338,9/11/17,514,5.1,172,20,86,97,77,88,114,72,25,33,18,45,61,0
Konocti,20338,9/12/17,390,3.7,277,18,80,92,68,82,109,65,39,63,26,52,62,0
Konocti,20338,9/13/17,505,5.7,300,20,73,90,64,77,108,62,56,71,29,55,61,0
Konocti,20338,9/14/17,516,8.2,302,28,67,80,54,69,97,51,44,90,23,41,52,0
Konocti,20338,9/15/17,472,3.8,290,18,66,82,52,69,99,48,45,66,22,43,53,0
Konocti,20338,9/16/17,470,4.7,257,19,70,83,59,72,98,52,32,51,15,38,52,0
Konocti,20338,9/17/17,512,6.8,288,23,68,83,56,71,99,50,38,70,12,39,52,0
Konocti,20338,9/18/17,446,12.5,292,36,61,71,51,64,84,49,68,92,43,50,54,0
Konocti,20338,9/19/17,489,10.2,291,27,59,71,50,62,82,48,55,75,32,42,49,0
Konocti,20338,9/20/17,370,12.3,292,27,57,67,48,59,80,45,71,91,46,47,51,0
Konocti,20338,9/21/17,493,9.8,279,25,53,66,45,57,84,42,58,80,31,38,45,0
Konocti,20338,9/22/17,335,4.1,12,16,56,66,46,57,84,41,52,73,31,38,46,0
Konocti,20338,9/23/17,491,3.5,334,21,62,73,51,64,93,45,30,50,15,28,45,0
Konocti,20338,9/24/17,465,3.2,28,18,67,78,59,68,95,52,26,36,16,30,48,0
Konocti,20338,9/25/17,476,3.5,159,17,71,83,61,73,100,54,24,33,15,32,50,0
Konocti,20338,9/26/17,475,4.5,79,23,75,84,66,76,101,60,24,36,16,35,53,0
Konocti,20338,9/27/17,476,4.3,122,16,75,86,67,77,106,60,20,27,12,30,51,0
Konocti,20338,9/28/17,464,3.5,271,22,73,88,62,75,106,56,26,35,16,35,52,0
Konocti,20338,9/29/17,403,6.6,292,24,69,82,61,71,96,57,37,69,17,40,53,0
Konocti,20338,9/30/17,442,7.6,301,21,65,80,54,69,99,50,53,85,31,47,54,0
Konocti,20338,10/1/17,446,6.1,313,21,63,77,52,65,90,47,35,51,17,33,47,0
Konocti,20338,10/2/17,459,5.2,358,18,61,73,48,64,93,45,30,65,10,26,44,0
Konocti,20338,10/3/17,444,4.5,38,21,59,71,44,61,89,40,33,74,16,27,44,0
Konocti,20338,10/4/17,441,3.8,291,14,63,76,53,66,94,47,25,35,14,26,45,0
Konocti,20338,10/5/17,443,2.8,302,16,65,79,52,67,98,46,24,36,12,26,46,0
Konocti,20338,10/6/17,440,3.5,299,16,71,87,57,73,105,51,19,29,7,25,48,0
Konocti,20338,10/7/17,425,6.3,287,25,70,84,60,71,99,53,29,56,17,35,51,0
Konocti,20338,10/8/17,432,6.4,101,40,64,74,55,66,90,48,25,63,7,24,46,0
Konocti,20338,10/9/17,406,5.8,126,28,64,74,55,65,89,51,17,33,9,16,43,0
Konocti,20338,10/10/17,343,4.8,227,20,62,76,51,62,87,46,31,42,15,30,46,0
Konocti,20338,10/11/17,399,8,294,22,56,68,47,57,80,41,36,59,13,27,42,0
Konocti,20338,10/12/17,402,5.5,306,18,56,72,42,59,90,36,33,50,8,24,42,0
Konocti,20338,10/13/17,391,4.8,298,20,59,73,45,61,91,39,36,59,16,31,45,0
Konocti,20338,10/14/17,370,5.5,114,16,63,75,52,66,93,48,20,39,6,18,43,0
Konocti,20338,10/15/17,364,4.5,131,19,67,78,60,68,94,55,15,21,12,18,45,0
Konocti,20338,10/16/17,363,3.5,274,12,70,85,58,71,103,51,17,24,10,23,47,0
Konocti,20338,10/17/17,329,2.8,294,14,69,82,61,68,96,52,18,27,11,23,47,0
Konocti,20338,10/18/17,283,4.3,286,19,66,81,57,66,93,50,24,30,12,28,47,0
Konocti,20338,10/19/17,275,10.9,273,37,55,62,44,57,75,42,68,96,32,44,49,0.42
Konocti,20338,10/20/17,243,9.6,289,32,47,54,43,47,60,41,76,96,53,40,43,0
Konocti,20338,10/21/17,337,8,289,21,53,64,44,55,76,41,65,91,42,41,47,0
Konocti,20338,10/22/17,367,5,295,17,60,73,50,62,84,47,65,91,38,47,53,0
Konocti,20338,10/23/17,361,3.9,126,20,76,88,61,76,98,55,32,61,17,42,56,0
Konocti,20338,10/24/17,364,3.7,143,18,78,92,69,78,104,62,24,32,14,38,55,0
Konocti,20338,10/25/17,362,2.2,157,8,76,90,67,76,105,60,28,34,17,39,55,0
Konocti,20338,10/26/17,365,2.5,110,12,75,88,65,75,104,58,26,41,12,36,53,0
Konocti,20338,10/27/17,359,3,268,13,74,88,62,74,102,56,30,44,16,40,54,0
Konocti,20338,10/28/17,355,2.6,104,11,74,86,66,74,102,59,29,43,17,38,54,0
Konocti,20338,10/29/17,351,3.9,266,17,71,84,60,71,97,54,35,45,19,41,54,0
Konocti,20338,10/30/17,312,4.9,118,17,62,70,52,64,86,49,46,85,14,38,50,0
Konocti,20338,10/31/17,338,4.5,124,19,60,74,51,62,88,46,56,84,25,42,50,0
