Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Warm Springs,20348,5/1/17,698,11.2,331,43,75,98,60,73,102,54,100,100,99,75,75,0
Warm Springs,20348,5/2/17,690,9.4,328,33,78,94,65,76,102,59,100,100,100,78,78,0
Warm Springs,20348,5/3/17,660,11,189,43,78,98,64,76,104,58,100,100,100,78,78,0
Warm Springs,20348,5/4/17,693,5.7,245,17,80,98,66,77,102,60,100,100,100,80,80,0
Warm Springs,20348,5/5/17,622,7.3,233,22,70,85,51,68,89,49,100,100,100,70,70,0
Warm Springs,20348,5/6/17,137,5,202,27,47,52,38,46,50,36,100,100,100,47,47,0.23
Warm Springs,20348,5/7/17,511,6,163,25,48,64,37,46,65,35,75,100,55,40,43,0.02
Warm Springs,20348,5/8/17,566,10.8,322,28,62,78,49,60,83,43,77,100,51,54,57,0
Warm Springs,20348,5/9/17,584,5.2,213,23,58,74,46,60,83,47,89,100,55,54,56,0
Warm Springs,20348,5/10/17,139,1.7,213,10,49,52,46,50,55,46,100,100,100,49,49,0.07
Warm Springs,20348,5/11/17,701,4.8,210,13,58,73,47,61,87,47,77,100,47,50,53,0
Warm Springs,20348,5/12/17,703,13.4,262,49,56,72,45,60,86,43,65,94,46,44,49,0
Warm Springs,20348,5/13/17,733,15.1,294,51,52,71,39,56,87,36,40,71,17,27,40,0
Warm Springs,20348,5/14/17,506,7.4,198,30,51,62,42,53,73,41,63,100,34,37,44,0
Warm Springs,20348,5/15/17,228,4.2,188,20,44,51,40,46,57,38,93,100,73,42,43,0.01
Warm Springs,20348,5/16/17,661,7.3,224,28,49,64,38,53,76,36,79,100,49,42,45,0.01
Warm Springs,20348,5/17/17,708,16.3,288,65,52,63,43,56,78,42,61,100,34,38,45,0
Warm Springs,20348,5/18/17,729,12.4,344,31,62,73,52,65,89,48,29,50,14,28,45,0
Warm Springs,20348,5/19/17,730,13.1,62,32,67,80,55,69,96,52,23,35,15,27,47,0
Warm Springs,20348,5/20/17,726,7.6,316,21,74,87,62,76,103,57,22,31,13,32,51,0
Warm Springs,20348,5/21/17,717,4.6,262,21,76,88,66,77,102,60,26,32,18,38,54,0
Warm Springs,20348,5/22/17,726,5.3,236,16,78,91,67,80,106,61,26,35,19,40,56,0
Warm Springs,20348,5/23/17,732,5.4,223,14,78,92,68,80,106,62,25,37,6,38,55,0
Warm Springs,20348,5/24/17,714,4.7,216,16,69,82,54,71,97,50,35,75,17,38,52,0
Warm Springs,20348,5/25/17,475,3.2,210,14,51,63,44,55,79,45,83,100,53,45,47,0
Warm Springs,20348,5/26/17,312,4.4,221,16,49,59,43,52,68,44,92,100,68,46,47,0.07
Warm Springs,20348,5/27/17,728,5.6,214,17,58,74,45,61,89,43,73,100,43,48,52,0
Warm Springs,20348,5/28/17,733,7.1,235,23,71,84,55,73,99,51,44,74,28,47,56,0
Warm Springs,20348,5/29/17,687,7.4,249,25,72,85,61,74,98,57,42,58,28,46,56,0
Warm Springs,20348,5/30/17,706,8.6,259,20,69,83,60,73,99,57,48,69,31,48,56,0
Warm Springs,20348,5/31/17,491,9.7,276,29,62,72,55,65,84,53,45,71,31,39,49,0
Warm Springs,20348,6/1/17,722,8.8,276,28,66,79,52,70,97,50,54,76,34,48,55,0
Warm Springs,20348,6/2/17,726,7.6,299,21,75,91,61,78,108,58,38,53,18,47,57,0
Warm Springs,20348,6/3/17,728,6,227,22,77,89,67,79,103,63,38,53,26,49,59,0
Warm Springs,20348,6/4/17,734,7.3,248,25,76,87,67,79,102,64,36,51,22,46,57,0
Warm Springs,20348,6/5/17,741,9,250,30,74,87,66,77,102,61,29,54,18,39,54,0
Warm Springs,20348,6/6/17,745,6.7,249,18,73,85,64,76,101,60,38,67,25,44,56,0
Warm Springs,20348,6/7/17,747,6.2,236,17,67,79,56,70,96,53,53,83,36,48,55,0
Warm Springs,20348,6/8/17,712,7.9,240,31,63,72,50,67,88,49,62,100,37,49,54,0
Warm Springs,20348,6/9/17,679,8.2,212,31,62,74,53,66,90,52,68,100,48,50,55,0
Warm Springs,20348,6/10/17,311,5.9,210,21,54,61,50,57,70,49,92,100,73,52,53,0
Warm Springs,20348,6/11/17,166,5.2,207,27,49,57,45,50,64,41,90,100,69,46,47,0
Warm Springs,20348,6/12/17,753,13.2,288,38,55,68,41,59,85,38,40,71,21,29,42,0
Warm Springs,20348,6/13/17,747,9.5,292,30,67,83,50,70,100,47,31,53,16,34,49,0
Warm Springs,20348,6/14/17,743,7.8,284,22,76,90,63,78,107,58,22,38,12,33,53,0
Warm Springs,20348,6/15/17,747,9,261,29,77,92,64,80,106,60,29,45,17,41,56,0
Warm Springs,20348,6/16/17,755,6.3,270,22,81,96,68,83,110,63,25,41,11,41,57,0
Warm Springs,20348,6/17/17,720,9.2,246,25,79,93,69,83,108,65,35,52,16,48,60,0
Warm Springs,20348,6/18/17,722,7,233,21,82,95,69,84,111,65,38,58,24,52,62,0
Warm Springs,20348,6/19/17,730,6,232,20,85,98,76,87,113,71,32,46,16,51,63,0
Warm Springs,20348,6/20/17,746,4.8,218,17,85,98,75,87,113,69,36,48,18,54,64,0
Warm Springs,20348,6/21/17,731,6.8,240,21,85,97,76,88,112,70,29,40,22,49,62,0
Warm Springs,20348,6/22/17,733,4.8,214,16,81,93,72,83,109,67,35,51,23,50,61,0
Warm Springs,20348,6/23/17,724,7.1,243,28,82,94,71,85,109,66,37,52,27,53,62,0
Warm Springs,20348,6/24/17,589,11,269,30,86,97,78,89,112,74,29,43,22,50,63,0
Warm Springs,20348,6/25/17,733,11,268,27,89,102,80,91,117,76,16,23,10,37,58,0
Warm Springs,20348,6/26/17,748,5.6,221,21,83,97,74,85,112,69,17,30,10,33,55,0
Warm Springs,20348,6/27/17,753,6,219,26,78,91,68,80,106,63,21,39,14,35,54,0
Warm Springs,20348,6/28/17,743,10.2,237,29,72,86,62,76,102,59,41,60,25,47,56,0
Warm Springs,20348,6/29/17,737,11.2,248,38,72,83,63,75,99,60,40,70,27,46,56,0
Warm Springs,20348,6/30/17,739,9.3,257,29,78,90,65,81,105,60,30,39,18,43,57,0
