Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Refugio,20546,6/1/17,717,17.8,342,47,63,74,51,68,89,51,70,97,49,53,57,0
Refugio,20546,6/2/17,721,8.9,128,39,69,79,57,73,93,53,61,88,30,54,59,0
Refugio,20546,6/3/17,702,3.4,172,28,67,75,55,73,92,53,68,98,49,56,60,0
Refugio,20546,6/4/17,723,8.3,268,38,67,76,55,72,90,52,62,94,31,52,58,0
Refugio,20546,6/5/17,678,3.3,175,29,64,71,55,69,87,52,70,94,23,53,57,0
Refugio,20546,6/6/17,513,2.2,167,11,57,68,52,63,85,50,89,100,65,54,55,0
Refugio,20546,6/7/17,252,2.2,150,13,57,65,52,59,79,52,93,100,73,54,55,0.01
Refugio,20546,6/8/17,709,14.1,302,50,63,73,52,68,89,52,68,99,34,50,55,0
Refugio,20546,6/9/17,648,20.1,330,48,63,75,51,68,93,51,78,94,50,56,58,0
Refugio,20546,6/10/17,706,22.9,346,52,58,72,48,63,90,48,73,95,46,48,52,0
Refugio,20546,6/11/17,731,26,337,52,54,67,48,58,81,47,71,92,44,44,49,0
Refugio,20546,6/12/17,745,25.5,340,49,57,71,47,60,84,46,65,90,37,44,49,0
Refugio,20546,6/13/17,743,19.7,356,45,66,78,55,70,95,52,45,63,33,44,53,0
Refugio,20546,6/14/17,737,8.6,331,32,74,85,65,79,102,59,36,47,26,45,57,0
Refugio,20546,6/15/17,741,12.5,354,43,76,84,69,81,100,64,37,50,24,48,59,0
Refugio,20546,6/16/17,739,6.9,259,33,80,87,72,84,103,66,34,49,21,48,60,0
Refugio,20546,6/17/17,718,2.6,154,10,74,82,69,79,99,64,52,64,42,55,62,0
Refugio,20546,6/18/17,725,4,191,27,77,84,67,81,99,62,50,63,38,56,63,0
Refugio,20546,6/19/17,733,5.7,205,29,79,87,70,84,103,67,44,58,33,55,63,0
Refugio,20546,6/20/17,710,6,243,31,81,90,69,86,105,66,44,61,28,56,64,0
Refugio,20546,6/21/17,717,1.8,144,9,78,88,70,83,104,66,50,63,40,58,64,0
Refugio,20546,6/22/17,725,2,144,11,68,76,57,73,93,57,73,98,58,58,61,0
Refugio,20546,6/23/17,667,2.6,114,26,64,73,56,71,90,57,80,100,43,57,59,0
Refugio,20546,6/24/17,680,12.9,350,45,74,85,59,79,101,59,57,86,39,56,62,0
Refugio,20546,6/25/17,741,18.7,347,42,81,94,71,85,108,72,40,68,25,53,63,0
Refugio,20546,6/26/17,757,28.5,349,48,80,93,60,84,108,60,31,69,12,43,58,0
Refugio,20546,6/27/17,764,19.1,344,49,73,87,59,78,106,59,49,79,29,51,59,0
Refugio,20546,6/28/17,739,9.4,41,36,69,77,58,74,95,56,58,75,45,53,59,0
Refugio,20546,6/29/17,617,5,194,29,64,71,59,69,89,55,71,89,53,54,58,0
Refugio,20546,6/30/17,695,3.4,172,24,66,73,57,70,90,53,66,91,49,54,58,0
Refugio,20546,7/1/17,623,2.3,191,14,63,73,56,68,90,52,73,88,53,54,57,0
Refugio,20546,7/2/17,443,2.9,158,12,61,72,54,65,88,55,84,100,61,56,58,0
Refugio,20546,7/3/17,673,2.3,207,11,67,77,57,71,95,53,64,94,23,52,58,0
Refugio,20546,7/4/17,714,4.3,115,35,75,84,69,80,102,62,36,56,12,44,57,0
Refugio,20546,7/5/17,682,8.9,214,38,77,83,69,83,99,65,38,58,20,49,60,0
Refugio,20546,7/6/17,693,10.9,86,46,80,88,69,85,104,65,41,62,25,53,62,0
Refugio,20546,7/7/17,695,14.3,346,43,90,99,84,95,111,81,26,38,17,50,64,0
Refugio,20546,7/8/17,699,5.9,53,37,89,98,73,93,116,72,28,53,16,51,64,0
Refugio,20546,7/9/17,643,3,193,13,78,89,69,83,106,68,54,68,42,60,65,0
Refugio,20546,7/10/17,417,1.3,155,12,76,85,70,79,98,67,53,64,40,57,63,0
Refugio,20546,7/11/17,669,2,169,11,73,82,63,78,99,60,64,81,52,60,64,0
Refugio,20546,7/12/17,680,2.8,166,14,71,79,65,75,97,60,66,82,43,59,63,0
Refugio,20546,7/13/17,684,2.1,191,14,71,80,64,77,98,60,61,80,40,57,62,0
Refugio,20546,7/14/17,708,10.1,348,41,75,84,65,81,98,62,44,72,16,49,59,0
Refugio,20546,7/15/17,646,3,186,30,79,87,71,84,106,67,43,58,24,54,62,0
Refugio,20546,7/16/17,507,2.8,100,15,74,84,66,78,101,64,58,73,36,58,63,0
Refugio,20546,7/17/17,678,2.3,201,12,71,83,63,76,100,59,70,84,53,60,64,0
