Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Kettleman Hills,20471,3/1/17,464,8.5,330,18,51,61,43,NA,NA,NA,54,65,42,35,43,0
Kettleman Hills,20471,3/2/17,467,7,327,13,55,64,46,NA,NA,NA,54,67,40,38,46,0
Kettleman Hills,20471,3/3/17,462,5,220,14,58,67,50,NA,NA,NA,57,69,41,43,49,0
Kettleman Hills,20471,3/4/17,412,10.4,230,33,57,67,50,NA,NA,NA,54,86,18,38,47,0
Kettleman Hills,20471,3/5/17,451,14.8,262,42,49,54,42,NA,NA,NA,62,92,38,36,42,0
Kettleman Hills,20471,3/6/17,480,6.4,317,13,48,56,40,NA,NA,NA,53,62,40,31,40,0
Kettleman Hills,20471,3/7/17,440,7,327,15,51,60,44,NA,NA,NA,63,79,46,39,45,0
Kettleman Hills,20471,3/8/17,466,8.2,340,18,55,64,47,NA,NA,NA,64,79,45,43,48,0
Kettleman Hills,20471,3/9/17,482,5.1,331,17,61,70,52,NA,NA,NA,71,92,50,50,54,0
Kettleman Hills,20471,3/10/17,362,6.1,333,16,62,70,57,NA,NA,NA,73,89,57,53,56,0
Kettleman Hills,20471,3/11/17,489,7.6,330,25,64,73,56,NA,NA,NA,71,94,48,54,58,0
Kettleman Hills,20471,3/12/17,497,10.7,327,26,64,73,56,NA,NA,NA,57,73,45,49,55,0
Kettleman Hills,20471,3/13/17,506,7.3,299,14,68,79,59,NA,NA,NA,46,62,29,45,54,0
Kettleman Hills,20471,3/14/17,497,5.2,153,18,71,83,62,NA,NA,NA,58,67,41,55,61,0
Kettleman Hills,20471,3/15/17,514,8.9,233,25,72,83,61,NA,NA,NA,45,67,16,47,57,0
Kettleman Hills,20471,3/16/17,497,10.4,328,22,63,73,55,NA,NA,NA,64,83,46,51,55,0
Kettleman Hills,20471,3/17/17,506,5.8,292,15,67,78,56,NA,NA,NA,58,78,39,51,57,0
Kettleman Hills,20471,3/18/17,448,7.6,290,20,69,79,59,NA,NA,NA,52,68,37,50,57,0
Kettleman Hills,20471,3/19/17,328,4.8,334,16,65,74,59,NA,NA,NA,51,67,38,47,54,0
Kettleman Hills,20471,3/20/17,399,11.8,224,35,62,71,55,NA,NA,NA,55,70,34,45,52,0
Kettleman Hills,20471,3/21/17,249,16.2,195,36,59,67,53,NA,NA,NA,80,99,60,53,55,0.02
Kettleman Hills,20471,3/22/17,262,9.7,292,29,52,60,49,NA,NA,NA,79,97,57,46,48,0.07
Kettleman Hills,20471,3/23/17,526,9,196,26,53,63,46,NA,NA,NA,64,81,48,41,46,0
Kettleman Hills,20471,3/24/17,295,9.8,214,23,57,68,49,NA,NA,NA,58,92,27,41,48,0.06
Kettleman Hills,20471,3/25/17,224,7.7,7,24,54,61,49,NA,NA,NA,91,100,72,51,52,0.13
Kettleman Hills,20471,3/26/17,410,6,329,16,57,64,48,NA,NA,NA,74,89,60,48,52,0
Kettleman Hills,20471,3/27/17,565,16.8,332,42,56,64,50,NA,NA,NA,64,100,33,43,49,0
Kettleman Hills,20471,3/28/17,562,17.4,333,44,59,65,52,NA,NA,NA,47,57,31,38,47,0
Kettleman Hills,20471,3/29/17,561,6.8,329,24,64,75,54,NA,NA,NA,48,60,34,44,52,0
Kettleman Hills,20471,3/30/17,548,19.8,321,52,61,66,56,NA,NA,NA,41,64,22,36,48,0
Kettleman Hills,20471,3/31/17,590,22.3,324,50,58,66,52,NA,NA,NA,35,44,30,30,44,0
Kettleman Hills,20471,4/1/17,590,6.7,322,20,64,76,51,NA,NA,NA,40,52,27,39,50,0
Kettleman Hills,20471,4/2/17,589,9,315,25,69,79,57,NA,NA,NA,42,57,29,44,54,0
Kettleman Hills,20471,4/3/17,624,14.3,326,38,67,75,58,NA,NA,NA,30,56,10,32,49,0
