Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Fremont Canyon,20252,9/1/17,543,11.7,40,42.3,93,102,82,96,115,79,28,38,18,54,67,0
Fremont Canyon,20252,9/2/17,506,7.4,220,21.3,91,101,86,95,119,83,33,44,19,57,68,0
Fremont Canyon,20252,9/3/17,325,7.4,222,22.2,80,94,67,83,113,67,67,100,39,66,70,0.09
Fremont Canyon,20252,9/4/17,206,7.5,196,22.4,68,74,65,70,83,64,95,100,74,67,67,0
Fremont Canyon,20252,9/5/17,504,6.4,226,20.9,76,87,64,80,104,63,66,100,49,64,67,0
Fremont Canyon,20252,9/6/17,491,6.2,209,20.6,77,89,66,80,106,63,57,73,40,60,65,0
Fremont Canyon,20252,9/7/17,507,5.7,202,19.9,77,90,67,,107,64,48,78,28,55,62,0
Fremont Canyon,20252,9/8/17,496,7.4,222,23.8,70,87,61,75,104,61,73,100,44,61,64,0
Fremont Canyon,20252,9/9/17,485,6.5,207,20.7,72,86,59,77,104,58,62,100,28,55,61,0
Fremont Canyon,20252,9/10/17,470,6.6,203,22.8,81,92,73,85,108,71,42,61,31,55,64,0
Fremont Canyon,20252,9/11/17,433,6.6,237,23.9,80,98,70,83,114,67,49,72,28,58,65,0
Fremont Canyon,20252,9/12/17,464,6.4,255,20,73,87,62,78,101,61,68,100,46,61,65,0
Fremont Canyon,20252,9/13/17,361,7.4,230,24.6,65,78,59,69,95,58,83,100,49,59,61,0
Fremont Canyon,20252,9/14/17,268,6.4,221,20.6,63,70,57,65,81,54,78,99,55,55,58,0
Fremont Canyon,20252,9/15/17,204,8.1,209,18.6,63,72,58,66,83,58,83,100,61,58,60,0
Fremont Canyon,20252,9/16/17,330,7.6,210,21.8,64,78,58,68,94,57,84,100,52,59,61,0
Fremont Canyon,20252,9/17/17,171,5.4,229,15,63,72,59,64,79,57,89,100,64,59,60,0.01
Fremont Canyon,20252,9/18/17,429,6.9,237,20,64,78,57,68,93,55,85,100,51,59,61,0
Fremont Canyon,20252,9/19/17,374,7.4,201,22.4,65,78,59,70,94,58,79,99,51,58,60,0
Fremont Canyon,20252,9/20/17,309,8.3,197,21.9,64,73,59,68,85,58,81,100,51,58,60,0
Fremont Canyon,20252,9/21/17,203,12.3,188,29.3,59,68,55,60,76,52,81,100,48,53,56,0.01
Fremont Canyon,20252,9/22/17,402,7.8,190,23.5,61,73,54,63,87,50,69,92,40,50,54,0
Fremont Canyon,20252,9/23/17,475,7.5,177,23.3,62,74,54,65,91,51,66,91,46,50,55,0
Fremont Canyon,20252,9/24/17,482,11.1,69,29.6,72,84,58,74,102,55,29,70,14,36,52,0
Fremont Canyon,20252,9/25/17,449,15.6,77,44.6,74,84,68,76,96,65,16,27,10,25,50,0
Fremont Canyon,20252,9/26/17,458,8.1,145,25.5,75,83,69,77,99,64,22,44,14,32,52,0
Fremont Canyon,20252,9/27/17,468,5.8,232,20,75,85,65,76,101,61,30,49,19,40,55,0
Fremont Canyon,20252,9/28/17,463,5.9,286,21.6,81,93,71,82,109,64,23,36,14,38,56,0
Fremont Canyon,20252,9/29/17,460,7.3,223,20.8,79,91,71,81,107,65,25,34,17,39,56,0
Fremont Canyon,20252,9/30/17,445,8.6,201,22.8,70,81,59,74,99,59,57,100,25,51,58,0
Fremont Canyon,20252,10/1/17,434,8.2,190,22.5,63,78,56,68,94,55,80,100,47,56,58,0
Fremont Canyon,20252,10/2/17,396,8,194,22.2,63,76,57,67,90,55,75,92,50,55,58,0
Fremont Canyon,20252,10/3/17,256,9.3,191,30.7,62,70,56,64,79,55,83,100,53,56,58,0
Fremont Canyon,20252,10/4/17,448,6.1,240,18.4,66,80,55,68,94,51,63,100,24,51,57,0
Fremont Canyon,20252,10/5/17,447,5.6,277,17.2,73,87,66,75,102,60,30,43,16,39,54,0
Fremont Canyon,20252,10/6/17,449,10.1,81,39.4,82,91,72,82,103,65,13,26,6,24,53,0
Fremont Canyon,20252,10/7/17,445,10.7,190,29.3,83,95,73,84,112,67,13,23,7,26,53,0
Fremont Canyon,20252,10/8/17,431,7.9,211,24.3,68,80,57,71,97,57,54,99,14,46,56,0
Fremont Canyon,20252,10/9/17,404,27.6,75,69.6,70,78,56,71,85,54,23,95,6,18,47,0
Fremont Canyon,20252,10/10/17,420,10,2,35.7,74,86,65,76,100,60,15,53,7,21,49,0
Fremont Canyon,20252,10/11/17,406,7.4,218,20.8,66,77,58,68,90,54,58,99,22,48,56,0
Fremont Canyon,20252,10/12/17,391,6.2,232,20.3,63,76,53,65,89,50,77,100,43,54,57,0
Fremont Canyon,20252,10/13/17,389,5.4,228,21.2,65,78,58,67,91,54,68,92,40,54,58,0
