Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Catheys Valley,20302,6/1/17,706,8,319,27,70,83,56,74,101,51,55,82,34,52,58,0
Catheys Valley,20302,6/2/17,713,6.3,320,24,76,90,60,81,111,55,47,75,30,53,61,0
Catheys Valley,20302,6/3/17,680,7.1,342,21,80,93,66,84,112,63,37,61,20,49,60,0
Catheys Valley,20302,6/4/17,731,8.3,336,25,77,90,65,80,108,56,27,50,9,37,55,0
Catheys Valley,20302,6/5/17,755,6.5,338,18,76,91,60,79,111,54,25,40,7,35,53,0
Catheys Valley,20302,6/6/17,747,7.2,345,21,79,93,62,82,114,58,24,39,10,36,54,0
Catheys Valley,20302,6/7/17,675,6.8,331,22,76,90,62,79,111,57,28,42,12,38,54,0
Catheys Valley,20302,6/8/17,457,6.8,328,23,69,80,59,73,97,53,37,60,13,39,52,0
Catheys Valley,20302,6/9/17,475,7,307,20,67,78,54,72,95,52,62,76,46,53,58,0.01
Catheys Valley,20302,6/10/17,737,12.1,315,26,62,75,52,67,92,50,51,78,24,42,51,0
Catheys Valley,20302,6/11/17,592,7.5,316,28,55,68,45,60,89,41,60,87,27,39,47,0.15
Catheys Valley,20302,6/12/17,730,6.5,326,21,59,71,43,62,93,40,56,88,34,42,49,0
Catheys Valley,20302,6/13/17,739,6.8,341,28,67,80,51,70,100,46,48,70,30,45,54,0
Catheys Valley,20302,6/14/17,733,7.8,330,25,75,88,59,78,106,55,42,66,27,49,58,0
Catheys Valley,20302,6/15/17,740,10.5,326,29,78,91,63,80,106,57,39,59,23,49,60,0
Catheys Valley,20302,6/16/17,722,7.3,342,22,82,94,65,86,117,61,40,57,26,54,63,0
Catheys Valley,20302,6/17/17,721,8.4,347,29,85,96,72,89,113,69,42,63,26,58,66,0
Catheys Valley,20302,6/18/17,706,6.2,67,17,90,103,75,93,115,72,37,55,22,59,68,0
Catheys Valley,20302,6/19/17,710,7.5,32,24,93,106,80,96,121,78,34,51,21,59,69,0
Catheys Valley,20302,6/20/17,716,7.5,9,26,93,106,80,95,119,77,33,48,15,57,68,0
Catheys Valley,20302,6/21/17,714,6,352,18,91,103,77,93,115,75,35,50,17,58,68,0
Catheys Valley,20302,6/22/17,716,6.7,333,20,92,105,77,94,116,76,34,55,16,58,68,0
Catheys Valley,20302,6/23/17,720,6.8,2,23,91,104,79,93,115,76,35,52,20,57,68,0
Catheys Valley,20302,6/24/17,633,6.4,65,18,88,102,76,89,117,74,38,56,25,58,67,0
Catheys Valley,20302,6/25/17,715,6.2,300,20,87,101,73,89,114,69,37,51,22,56,66,0
Catheys Valley,20302,6/26/17,748,5.8,310,18,80,95,65,82,107,63,36,57,14,48,60,0
Catheys Valley,20302,6/27/17,747,6.3,308,21,77,91,62,79,104,59,40,65,23,49,59,0
Catheys Valley,20302,6/28/17,750,6.8,315,21,78,91,62,80,103,58,41,63,19,51,60,0
Catheys Valley,20302,6/29/17,753,8.3,332,24,80,93,65,82,105,62,37,62,17,49,60,0
Catheys Valley,20302,6/30/17,729,7.2,332,24,81,95,67,84,106,64,38,57,20,52,62,0
Catheys Valley,20302,7/1/17,739,6.8,333,20,79,92,67,81,104,63,39,60,21,50,61,0
Catheys Valley,20302,7/2/17,733,6.2,150,17,82,96,67,84,107,64,34,52,19,49,61,0
Catheys Valley,20302,7/3/17,714,7,345,21,83,97,69,86,109,66,34,50,19,51,62,0
Catheys Valley,20302,7/4/17,737,6.2,125,17,86,99,71,88,111,69,30,47,12,49,62,0
Catheys Valley,20302,7/5/17,699,6.1,13,25,85,101,71,87,115,67,31,46,15,49,62,0
Catheys Valley,20302,7/6/17,679,7.2,339,24,87,100,73,89,112,71,30,47,18,51,64,0
Catheys Valley,20302,7/7/17,711,8.9,337,27,90,102,76,92,115,73,28,40,19,51,64,0
