Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Bradley,20643,6/1/17,684,9.5,313,33,68,86,55,72,100,55,64,91,30,53,58,0
Bradley,20643,6/2/17,695,7.8,301,33,70,95,53,73,107,52,55,92,21,50,57,0
Bradley,20643,6/3/17,700,8.4,317,33,71,95,55,75,109,54,50,83,21,48,57,0
Bradley,20643,6/4/17,709,10.9,325,36,66,90,51,69,99,50,51,90,8,43,53,0
Bradley,20643,6/5/17,737,6.4,305,30,68,96,44,72,108,42,49,92,5,40,52,0
Bradley,20643,6/6/17,710,8.8,316,35,67,90,49,70,101,47,56,91,18,46,54,0
Bradley,20643,6/7/17,676,7.5,329,30,65,88,48,68,98,46,58,96,14,45,53,0
Bradley,20643,6/8/17,709,4.8,288,20,67,86,47,71,102,45,56,86,16,47,55,0
Bradley,20643,6/9/17,514,7.8,316,34,66,80,54,70,93,53,65,92,45,53,58,0
Bradley,20643,6/10/17,721,11.5,319,34,62,78,48,66,91,46,55,88,26,44,51,0
Bradley,20643,6/11/17,729,11.2,312,33,59,71,50,63,83,48,54,81,27,41,49,0
Bradley,20643,6/12/17,694,8.2,320,32,60,75,43,63,87,42,59,84,32,44,50,0
Bradley,20643,6/13/17,704,7,312,30,65,84,46,68,99,45,56,92,26,45,53,0
Bradley,20643,6/14/17,715,7.5,309,30,70,92,50,73,106,48,47,85,20,46,55,0
Bradley,20643,6/15/17,721,10.1,315,32,72,92,52,75,102,51,46,81,17,47,56,0
Bradley,20643,6/16/17,706,8.2,309,30,78,99,56,81,111,55,47,81,24,53,61,0
Bradley,20643,6/17/17,697,7.2,303,30,81,104,60,84,116,59,44,75,22,55,63,0
Bradley,20643,6/18/17,702,3.9,292,25,83,108,61,86,121,59,42,75,17,54,64,0
Bradley,20643,6/19/17,697,5.2,290,28,81,109,62,84,121,60,46,75,17,55,63,0
Bradley,20643,6/20/17,695,6.4,302,29,77,105,57,81,117,57,52,85,17,54,61,0
Bradley,20643,6/21/17,726,5.8,302,27,76,109,55,80,121,55,55,94,9,52,60,0
Bradley,20643,6/22/17,708,3.7,291,20,80,109,58,83,122,56,48,81,13,53,62,0
Bradley,20643,6/23/17,695,6.3,308,34,75,103,57,78,117,56,58,91,18,54,61,0
Bradley,20643,6/24/17,570,7.6,312,30,71,95,58,74,107,57,64,92,30,56,61,0
Bradley,20643,6/25/17,710,7.9,325,29,71,96,55,75,108,57,62,96,28,55,60,0
Bradley,20643,6/26/17,728,7,308,32,72,101,50,75,113,49,56,92,13,50,58,0
Bradley,20643,6/27/17,667,8.9,325,36,68,91,56,72,106,55,66,94,19,52,58,0
Bradley,20643,6/28/17,676,8.7,322,28,67,90,54,71,102,55,65,96,16,51,57,0
Bradley,20643,6/29/17,693,9.2,324,29,67,92,54,71,104,54,62,95,13,48,56,0
Bradley,20643,6/30/17,689,11.1,321,32,67,89,53,71,98,54,62,94,21,50,56,0
Bradley,20643,7/1/17,662,8.6,323,29,64,83,53,68,96,53,66,91,29,50,55,0
Bradley,20643,7/2/17,692,5.8,306,25,68,92,53,73,106,53,64,94,23,52,58,0
Bradley,20643,7/3/17,705,4.5,325,24,71,96,51,75,108,50,58,95,10,50,58,0
Bradley,20643,7/4/17,698,5,321,31,73,102,53,77,114,53,54,97,5,47,58,0
Bradley,20643,7/5/17,663,7.7,313,31,74,101,55,78,114,54,51,91,18,51,59,0
Bradley,20643,7/6/17,680,8.1,300,35,79,104,57,82,118,56,42,82,14,49,60,0
Bradley,20643,7/7/17,687,9.7,309,28,83,108,60,86,119,58,34,70,13,47,60,0
Bradley,20643,7/8/17,685,8.2,314,37,83,108,60,84,117,57,32,62,9,44,59,0
Bradley,20643,7/9/17,664,4.2,281,26,79,107,58,82,119,56,40,77,10,46,59,0
Bradley,20643,7/10/17,662,4.3,292,21,78,105,56,81,119,55,48,81,17,52,61,0
Bradley,20643,7/11/17,674,4.3,286,23,75,102,56,79,115,55,50,85,18,51,59,0
Bradley,20643,7/12/17,689,4.4,312,25,72,101,50,76,115,49,54,88,13,50,58,0
Bradley,20643,7/13/17,687,4.9,307,27,73,101,53,77,114,52,55,95,14,50,59,0
Bradley,20643,7/14/17,696,6,303,29,74,102,51,77,117,50,51,92,14,48,58,0
Bradley,20643,7/15/17,505,5.9,301,29,76,98,52,77,107,49,45,92,10,46,58,0
Bradley,20643,7/16/17,676,6.4,310,29,83,107,59,86,121,57,36,79,13,48,61,0
Bradley,20643,7/17/17,694,10,316,34,80,103,58,83,113,56,32,68,8,42,57,0
Bradley,20643,7/18/17,692,10.5,317,32,74,96,56,76,105,54,43,78,10,44,56,0
Bradley,20643,7/19/17,714,9.2,316,34,71,95,52,73,105,50,51,89,12,46,56,0
Bradley,20643,7/20/17,694,9.8,324,33,69,92,54,73,103,53,57,91,20,50,57,0
Bradley,20643,7/21/17,700,9.7,323,37,70,93,53,73,103,51,54,90,12,47,56,0
Bradley,20643,7/22/17,676,4.5,304,28,75,104,51,78,116,49,50,94,12,48,58,0
Bradley,20643,7/23/17,673,3.7,230,21,76,103,54,79,115,51,48,84,9,48,59,0
Bradley,20643,7/24/17,683,4,252,19,71,90,51,74,102,50,56,96,18,49,57,0
Bradley,20643,7/25/17,671,3.6,244,21,71,92,54,74,104,52,57,97,15,50,58,0
Bradley,20643,7/26/17,650,4.9,303,29,74,100,56,78,113,55,55,92,23,53,60,0
Bradley,20643,7/27/17,653,6.6,310,30,77,101,57,80,113,56,49,91,20,52,61,0
Bradley,20643,7/28/17,663,6.2,306,28,76,102,56,79,116,55,49,85,18,50,59,0
Bradley,20643,7/29/17,666,6.1,305,29,71,97,53,75,111,52,58,92,16,51,58,0
Bradley,20643,7/30/17,669,6.2,313,28,73,100,54,76,114,52,57,95,20,52,59,0
Bradley,20643,7/31/17,665,6.5,316,33,75,104,56,78,119,56,52,93,9,49,59,0
