Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Soda Creek,20707,9/1/17,494,0.9,66,14,77,108,50,79,121,48,37,65,10,43,56,0
Soda Creek,20707,9/2/17,469,0.6,152,10,79,110,54,81,123,53,40,72,10,47,59,0
Soda Creek,20707,9/3/17,473,0.9,95,14,79,107,56,81,120,54,40,71,11,48,59,0
Soda Creek,20707,9/4/17,375,1.5,196,15,81,100,63,83,111,62,40,60,16,52,62,0
Soda Creek,20707,9/5/17,432,1.2,300,15,76,91,62,79,105,60,57,80,36,59,64,0
Soda Creek,20707,9/6/17,478,1.3,345,14,74,93,59,77,108,57,59,95,28,56,62,0
Soda Creek,20707,9/7/17,186,1.3,287,11,65,72,55,66,80,53,74,95,59,56,59,0
Soda Creek,20707,9/8/17,434,1,170,14,69,87,52,72,103,50,66,97,32,55,60,0
Soda Creek,20707,9/9/17,462,1.1,61,14,71,94,52,73,109,50,59,95,26,53,59,0
Soda Creek,20707,9/10/17,467,0.8,249,12,73,101,50,76,116,48,50,86,16,49,58,0
Soda Creek,20707,9/11/17,430,0.9,304,13,77,101,55,80,113,53,46,76,19,51,60,0
Soda Creek,20707,9/12/17,322,0.8,43,13,74,96,60,75,111,59,57,83,23,55,61,0
Soda Creek,20707,9/13/17,433,1.8,73,19,70,90,55,73,105,54,66,92,34,56,61,0
Soda Creek,20707,9/14/17,449,1.5,147,17,63,85,43,66,99,40,57,96,23,44,52,0
Soda Creek,20707,9/15/17,436,1.1,44,12,59,84,36,62,100,34,53,78,24,40,48,0
Soda Creek,20707,9/16/17,418,1,75,18,62,86,41,63,100,38,52,89,16,39,49,0
Soda Creek,20707,9/17/17,417,1.4,135,14,62,85,40,65,101,38,56,83,20,43,51,0
Soda Creek,20707,9/18/17,347,1.7,200,15,59,74,49,61,85,47,68,89,44,48,52,0
Soda Creek,20707,9/19/17,411,2.2,350,16,58,71,42,60,84,40,62,90,32,43,49,0
Soda Creek,20707,9/20/17,289,1.2,193,14,57,67,43,58,78,41,77,98,50,49,52,0.09
Soda Creek,20707,9/21/17,387,1.3,257,11,51,68,37,53,86,36,68,97,30,39,44,0
Soda Creek,20707,9/22/17,219,0.4,63,7,50,68,34,50,79,32,69,95,28,38,43,0
Soda Creek,20707,9/23/17,413,0.9,28,9,53,79,32,55,91,30,58,95,17,34,43,0
