Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Fremont Canyon,20251,8/1/17,513,8.5,161,36.2,79,96,65,83,112,65,63,89,34,64,68,0
Fremont Canyon,20251,8/2/17,297,4.3,203,14.5,81,89,75,83,107,73,61,71,50,66,70,0
Fremont Canyon,20251,8/3/17,583,9.2,208,21.7,80,92,69,85,109,69,61,79,39,65,69,0
Fremont Canyon,20251,8/4/17,621,8.4,214,22,77,90,67,82,107,65,58,77,42,60,65,0
Fremont Canyon,20251,8/5/17,613,9,210,22.6,71,85,62,77,102,61,75,100,48,62,65,0
Fremont Canyon,20251,8/6/17,596,7,227,22.2,70,84,61,75,101,60,80,100,49,62,65,0
Fremont Canyon,20251,8/7/17,617,6.2,232,20.6,72,86,61,77,104,60,73,100,48,62,65,0
Fremont Canyon,20251,8/8/17,646,7.1,223,20.7,76,92,66,80,108,64,59,79,36,60,65,0
Fremont Canyon,20251,8/9/17,652,6.1,233,21.2,75,88,65,79,105,62,60,81,40,59,64,0
Fremont Canyon,20251,8/10/17,629,6,247,19.3,76,89,65,80,106,62,59,80,39,60,65,0
Fremont Canyon,20251,8/11/17,613,6.1,188,20.7,76,90,66,80,107,64,56,83,30,58,64,0
Fremont Canyon,20251,8/12/17,633,6.9,218,20,72,87,59,76,104,59,70,100,42,60,64,0
Fremont Canyon,20251,8/13/17,630,8.1,233,20.6,70,89,58,75,107,57,77,100,39,61,63,0
Fremont Canyon,20251,8/14/17,581,8.7,207,23.9,67,83,59,72,101,59,81,100,45,59,62,0
Fremont Canyon,20251,8/15/17,319,8.4,201,24.1,63,74,58,66,86,57,84,97,58,58,59,0
Fremont Canyon,20251,8/16/17,596,7.4,218,22.4,67,79,58,72,97,58,74,95,46,57,60,0
Fremont Canyon,20251,8/17/17,593,6.8,229,21.7,68,82,59,73,100,57,75,100,41,58,61,0
Fremont Canyon,20251,8/18/17,584,6.5,221,20.5,69,82,59,74,100,59,76,100,42,59,62,0
Fremont Canyon,20251,8/19/17,559,8.1,223,22.4,67,83,59,73,100,59,82,100,47,60,62,0
Fremont Canyon,20251,8/20/17,558,7.7,220,23.8,67,82,59,73,99,60,80,99,49,59,62,0
Fremont Canyon,20251,8/21/17,514,6.4,279,22.1,68,82,59,72,99,60,78,100,46,59,62,0
Fremont Canyon,20251,8/22/17,590,7.2,235,19.7,71,86,60,75,103,58,75,99,43,61,64,0
Fremont Canyon,20251,8/23/17,518,8,218,21.9,67,82,60,72,99,60,85,100,50,61,63,0
Fremont Canyon,20251,8/24/17,517,7.1,219,22.6,66,81,59,72,98,59,83,100,50,60,62,0
Fremont Canyon,20251,8/25/17,527,6.4,222,20.6,67,81,58,72,97,58,84,100,52,61,63,0
Fremont Canyon,20251,8/26/17,585,5.5,222,18.3,79,92,66,82,109,63,55,84,39,61,66,0
Fremont Canyon,20251,8/27/17,569,5.4,225,17.2,85,94,76,88,112,73,32,47,25,52,63,0
Fremont Canyon,20251,8/28/17,571,4.8,220,17.5,89,102,77,92,117,73,31,44,19,54,66,0
Fremont Canyon,20251,8/29/17,553,6.6,201,17.4,93,101,83,96,118,80,26,42,18,52,66,0
Fremont Canyon,20251,8/30/17,552,6.9,212,24.7,92,99,81,95,115,78,28,38,22,54,66,0
Fremont Canyon,20251,8/31/17,463,13,106,55.9,92,103,84,95,120,81,28,42,17,54,66,0
Fremont Canyon,20251,9/1/17,543,11.7,40,42.3,93,102,82,96,115,79,28,38,18,54,67,0
Fremont Canyon,20251,9/2/17,506,7.4,220,21.3,91,101,86,95,119,83,33,44,19,57,68,0
Fremont Canyon,20251,9/3/17,325,7.4,222,22.2,80,94,67,83,113,67,67,100,39,66,70,0.09
Fremont Canyon,20251,9/4/17,206,7.5,196,22.4,68,74,65,70,83,64,95,100,74,67,67,0
Fremont Canyon,20251,9/5/17,504,6.4,226,20.9,76,87,64,80,104,63,66,100,49,64,67,0
Fremont Canyon,20251,9/6/17,491,6.2,209,20.6,77,89,66,80,106,63,57,73,40,60,65,0
Fremont Canyon,20251,9/7/17,507,5.7,202,19.9,77,90,67,,107,64,48,78,28,55,62,0
Fremont Canyon,20251,9/8/17,496,7.4,222,23.8,70,87,61,75,104,61,73,100,44,61,64,0
Fremont Canyon,20251,9/9/17,485,6.5,207,20.7,72,86,59,77,104,58,62,100,28,55,61,0
Fremont Canyon,20251,9/10/17,470,6.6,203,22.8,81,92,73,85,108,71,42,61,31,55,64,0
Fremont Canyon,20251,9/11/17,433,6.6,237,23.9,80,98,70,83,114,67,49,72,28,58,65,0
Fremont Canyon,20251,9/12/17,464,6.4,255,20,73,87,62,78,101,61,68,100,46,61,65,0
Fremont Canyon,20251,9/13/17,361,7.4,230,24.6,65,78,59,69,95,58,83,100,49,59,61,0
Fremont Canyon,20251,9/14/17,268,6.4,221,20.6,63,70,57,65,81,54,78,99,55,55,58,0
Fremont Canyon,20251,9/15/17,204,8.1,209,18.6,63,72,58,66,83,58,83,100,61,58,60,0
Fremont Canyon,20251,9/16/17,330,7.6,210,21.8,64,78,58,68,94,57,84,100,52,59,61,0
Fremont Canyon,20251,9/17/17,171,5.4,229,15,63,72,59,64,79,57,89,100,64,59,60,0.01
Fremont Canyon,20251,9/18/17,429,6.9,237,20,64,78,57,68,93,55,85,100,51,59,61,0
Fremont Canyon,20251,9/19/17,374,7.4,201,22.4,65,78,59,70,94,58,79,99,51,58,60,0
Fremont Canyon,20251,9/20/17,309,8.3,197,21.9,64,73,59,68,85,58,81,100,51,58,60,0
Fremont Canyon,20251,9/21/17,203,12.3,188,29.3,59,68,55,60,76,52,81,100,48,53,56,0.01
Fremont Canyon,20251,9/22/17,402,7.8,190,23.5,61,73,54,63,87,50,69,92,40,50,54,0
Fremont Canyon,20251,9/23/17,475,7.5,177,23.3,62,74,54,65,91,51,66,91,46,50,55,0
Fremont Canyon,20251,9/24/17,482,11.1,69,29.6,72,84,58,74,102,55,29,70,14,36,52,0
Fremont Canyon,20251,9/25/17,449,15.6,77,44.6,74,84,68,76,96,65,16,27,10,25,50,0
Fremont Canyon,20251,9/26/17,458,8.1,145,25.5,75,83,69,77,99,64,22,44,14,32,52,0
Fremont Canyon,20251,9/27/17,468,5.8,232,20,75,85,65,76,101,61,30,49,19,40,55,0
Fremont Canyon,20251,9/28/17,463,5.9,286,21.6,81,93,71,82,109,64,23,36,14,38,56,0
Fremont Canyon,20251,9/29/17,460,7.3,223,20.8,79,91,71,81,107,65,25,34,17,39,56,0
Fremont Canyon,20251,9/30/17,445,8.6,201,22.8,70,81,59,74,99,59,57,100,25,51,58,0
Fremont Canyon,20251,10/1/17,434,8.2,190,22.5,63,78,56,68,94,55,80,100,47,56,58,0
Fremont Canyon,20251,10/2/17,396,8,194,22.2,63,76,57,67,90,55,75,92,50,55,58,0
Fremont Canyon,20251,10/3/17,256,9.3,191,30.7,62,70,56,64,79,55,83,100,53,56,58,0
Fremont Canyon,20251,10/4/17,448,6.1,240,18.4,66,80,55,68,94,51,63,100,24,51,57,0
Fremont Canyon,20251,10/5/17,447,5.6,277,17.2,73,87,66,75,102,60,30,43,16,39,54,0
Fremont Canyon,20251,10/6/17,449,10.1,81,39.4,82,91,72,82,103,65,13,26,6,24,53,0
Fremont Canyon,20251,10/7/17,445,10.7,190,29.3,83,95,73,84,112,67,13,23,7,26,53,0
Fremont Canyon,20251,10/8/17,431,7.9,211,24.3,68,80,57,71,97,57,54,99,14,46,56,0
Fremont Canyon,20251,10/9/17,404,27.6,75,69.6,70,78,56,71,85,54,23,95,6,18,47,0
Fremont Canyon,20251,10/10/17,420,10,2,35.7,74,86,65,76,100,60,15,53,7,21,49,0
Fremont Canyon,20251,10/11/17,406,7.4,218,20.8,66,77,58,68,90,54,58,99,22,48,56,0
Fremont Canyon,20251,10/12/17,391,6.2,232,20.3,63,76,53,65,89,50,77,100,43,54,57,0
Fremont Canyon,20251,10/13/17,389,5.4,228,21.2,65,78,58,67,91,54,68,92,40,54,58,0
Fremont Canyon,20251,10/14/17,396,11.5,79,42.8,76,89,62,77,105,57,30,71,8,36,55,0
Fremont Canyon,20251,10/15/17,403,14.9,76,44.6,82,95,74,83,110,71,10,22,5,18,51,0
Fremont Canyon,20251,10/16/17,393,7.8,94,21,85,98,78,87,110,74,10,16,6,22,53,0
Fremont Canyon,20251,10/17/17,362,7,176,20.8,83,92,76,84,106,72,14,30,8,28,54,0
Fremont Canyon,20251,10/18/17,359,7.1,202,20.7,75,84,65,77,98,62,39,75,17,45,57,0
Fremont Canyon,20251,10/19/17,256,7.7,203,20.9,63,71,57,65,82,55,87,100,62,58,60,0
Fremont Canyon,20251,10/20/17,227,14.2,192,28.4,59,66,56,61,75,54,88,100,68,56,57,0
