Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Atlas Peak,20322,6/1/17,736,10.7,260,22,64,78,52,68,91,50,65,91,41,51,56,0
Atlas Peak,20322,6/2/17,737,8.7,257,23,71,84,60,74,96,57,49,64,31,51,58,0
Atlas Peak,20322,6/3/17,624,9.4,260,23,69,81,58,73,94,56,49,66,34,49,57,0
Atlas Peak,20322,6/4/17,764,13.7,249,27,65,79,53,68,91,52,50,71,28,44,53,0
Atlas Peak,20322,6/5/17,731,8.7,272,24,72,84,62,75,97,58,37,50,25,44,55,0
Atlas Peak,20322,6/6/17,748,10.1,258,27,70,82,61,73,94,58,44,59,29,46,56,0
Atlas Peak,20322,6/7/17,496,16.5,242,35,59,68,50,61,76,51,65,94,49,46,51,0
Atlas Peak,20322,6/8/17,294,12.5,212,35,53,59,48,55,65,47,93,97,62,51,52,0.09
Atlas Peak,20322,6/9/17,571,13.2,234,30,56,64,45,59,75,44,80,98,56,49,52,0
Atlas Peak,20322,6/10/17,716,16.8,262,34,53,64,44,55,76,42,65,90,43,41,46,0
Atlas Peak,20322,6/11/17,573,9.1,266,28,51,62,41,53,75,40,69,91,37,40,45,0.02
Atlas Peak,20322,6/12/17,524,9.7,236,29,55,64,44,57,75,43,69,92,48,45,49,0
Atlas Peak,20322,6/13/17,737,7.8,270,24,65,76,52,68,90,49,55,74,36,47,54,0
Atlas Peak,20322,6/14/17,746,8.8,260,25,71,85,62,74,97,57,43,53,27,47,56,0
Atlas Peak,20322,6/15/17,728,10.7,278,28,74,85,61,76,97,58,40,53,29,47,57,0
Atlas Peak,20322,6/16/17,727,10.1,285,27,79,92,69,82,104,67,44,58,31,55,63,0
Atlas Peak,20322,6/17/17,730,6.8,279,24,83,96,70,87,110,67,38,52,26,55,64,0
Atlas Peak,20322,6/18/17,731,8.4,350,22,89,102,80,92,114,78,28,36,20,52,65,0
Atlas Peak,20322,6/19/17,727,10.7,249,26,87,99,80,90,113,77,36,48,28,56,66,0
Atlas Peak,20322,6/20/17,719,8.2,262,24,85,94,72,89,109,71,44,51,36,60,68,0
Atlas Peak,20322,6/21/17,734,6.6,293,21,89,99,77,92,112,74,38,50,26,59,68,0
Atlas Peak,20322,6/22/17,737,9.9,326,23,88,101,73,91,114,71,27,47,13,47,62,0
Atlas Peak,20322,6/23/17,745,11,255,22,77,90,67,81,104,65,48,66,37,55,62,0
Atlas Peak,20322,6/24/17,703,10.6,256,21,74,88,61,78,101,61,56,78,41,57,62,0
Atlas Peak,20322,6/25/17,752,14.5,252,28,68,82,53,72,94,53,64,93,33,54,59,0
Atlas Peak,20322,6/26/17,746,15.9,249,25,61,76,50,66,89,51,76,97,46,52,55,0
Atlas Peak,20322,6/27/17,753,11.9,250,24,66,79,54,70,93,51,67,95,45,54,58,0
Atlas Peak,20322,6/28/17,,10.5,255,24,70,81,58,73,95,56,55,68,43,52,58,0
Atlas Peak,20322,6/29/17,755,8.9,255,26,73,85,65,76,99,60,47,59,28,51,59,0
Atlas Peak,20322,6/30/17,741,11.3,244,26,72,85,59,76,98,58,49,60,37,52,59,0
Atlas Peak,20322,7/1/17,730,9.7,257,21,69,84,53,74,97,52,55,73,40,52,58,0
Atlas Peak,20322,7/2/17,731,9.2,259,23,73,87,60,77,97,59,55,72,37,55,61,0
Atlas Peak,20322,7/3/17,737,9.6,254,24,72,83,63,75,97,61,47,63,25,50,58,0
Atlas Peak,20322,7/4/17,757,10.7,232,30,75,85,63,78,98,62,28,61,11,36,54,0
Atlas Peak,20322,7/5/17,730,9.8,254,20,75,87,66,78,101,62,34,49,23,44,56,0
Atlas Peak,20322,7/6/17,730,9.9,249,24,82,94,70,85,108,66,28,45,17,45,59,0
Atlas Peak,20322,7/7/17,742,8.2,272,30,89,102,76,91,113,72,17,28,11,37,59,0
Atlas Peak,20322,7/8/17,736,12.6,250,25,85,98,73,88,110,70,15,29,7,30,55,0
Atlas Peak,20322,7/9/17,750,10.7,251,22,82,94,71,85,108,69,26,40,11,43,58,0
Atlas Peak,20322,7/10/17,742,10.2,249,26,78,89,70,81,103,67,44,53,32,54,62,0
Atlas Peak,20322,7/11/17,727,9.8,253,22,74,85,65,78,100,63,49,62,37,53,61,0
Atlas Peak,20322,7/12/17,728,9,259,20,75,87,68,79,100,65,45,55,27,52,60,0
Atlas Peak,20322,7/13/17,732,9.3,254,21,75,88,67,79,102,64,46,57,31,53,61,0
Atlas Peak,20322,7/14/17,719,8.2,260,22,79,90,72,82,104,68,44,53,24,54,62,0
